Date,Country,Confirmed,Recovered,Deaths
4/1/2020,China,82361,76405,3316
4/2/2020,China,82432,76565,3322
4/3/2020,China,82511,76760,3326
4/4/2020,China,82543,76946,3330
4/5/2020,China,82602,77207,3333
4/6/2020,China,82665,77310,3335
4/7/2020,China,82718,77410,3335
4/8/2020,China,82809,77567,3337
4/9/2020,China,82883,77679,3339
4/10/2020,China,82941,77791,3340
4/11/2020,China,83014,77877,3343
4/12/2020,China,83134,77956,3343
4/13/2020,China,83213,78039,3345
4/14/2020,China,83306,78200,3345
4/15/2020,China,83356,78311,3346
4/16/2020,China,83403,78401,3346
4/17/2020,China,83760,77552,4636
4/18/2020,China,83787,77614,4636
4/19/2020,China,83805,77690,4636
4/20/2020,China,83817,77745,4636
4/21/2020,China,83853,77799,4636
4/22/2020,China,83868,77861,4636
4/23/2020,China,83884,77983,4636
4/24/2020,China,83899,78109,4636
4/25/2020,China,83909,78175,4636
4/26/2020,China,83912,78277,4637
4/27/2020,China,83918,78374,4637
4/28/2020,China,83940,78422,4637
