Date,Country,Confirmed,Recovered,Deaths
4/1/2020,India,1998,148,58
4/2/2020,India,2543,191,72
4/3/2020,India,2567,192,72
4/4/2020,India,3082,229,86
4/5/2020,India,3588,229,99
4/6/2020,India,4778,375,136
4/7/2020,India,5311,421,150
4/8/2020,India,5916,506,178
4/9/2020,India,6725,620,226
4/10/2020,India,7598,774,246
4/11/2020,India,8446,969,288
4/12/2020,India,9205,1080,331
4/13/2020,India,10453,1181,358
4/14/2020,India,11487,1359,393
4/15/2020,India,12322,1432,405
4/16/2020,India,13430,1768,448
4/17/2020,India,14352,2041,486
4/18/2020,India,15722,2463,521
4/19/2020,India,17615,2854,559
4/20/2020,India,18539,3273,592
4/21/2020,India,20080,3975,645
4/22/2020,India,21370,4370,681
4/23/2020,India,23077,5012,721
4/24/2020,India,24530,5498,780
4/25/2020,India,26283,5939,825
4/26/2020,India,27890,6523,881
4/27/2020,India,29451,7137,939
4/28/2020,India,31324,7747,1008
