Date,Deaths
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,0
3/11/2020,1
3/12/2020,1
3/13/2020,2
3/14/2020,2
3/15/2020,2
3/16/2020,2
3/17/2020,3
3/18/2020,3
3/19/2020,4
3/20/2020,5
3/21/2020,4
3/22/2020,7
3/23/2020,10
3/24/2020,10
3/25/2020,12
3/26/2020,20
3/27/2020,20
3/28/2020,24
3/29/2020,27
3/30/2020,32
3/31/2020,35
4/1/2020,58
4/2/2020,72
4/3/2020,72
4/4/2020,86
4/5/2020,99
4/6/2020,136
4/7/2020,150
4/8/2020,178
4/9/2020,226
4/10/2020,246
4/11/2020,288
4/12/2020,331
4/13/2020,358
4/14/2020,393
4/15/2020,405
4/16/2020,448
4/17/2020,486
4/18/2020,521
4/19/2020,559
4/20/2020,592
4/21/2020,645
4/22/2020,681
4/23/2020,721
4/24/2020,780
4/25/2020,825
4/26/2020,881
4/27/2020,939
4/28/2020,1008
4/29/2020,1079
4/30/2020,1154
5/1/2020,1223
5/2/2020,1323
5/3/2020,1391
5/4/2020,1566
5/5/2020,1693
5/6/2020,1785
5/7/2020,1889
