Date,Country,Confirmed,Recovered,Deaths
4/1/2020,Italy,110574,16847,13155
4/2/2020,Italy,115242,18278,13915
4/3/2020,Italy,119827,19758,14681
4/4/2020,Italy,124632,20996,15362
4/5/2020,Italy,128948,21815,15887
4/6/2020,Italy,132547,22837,16523
4/7/2020,Italy,135586,24392,17127
4/8/2020,Italy,139422,26491,17669
4/9/2020,Italy,143626,28470,18279
4/10/2020,Italy,147577,30455,18849
4/11/2020,Italy,152271,32534,19468
4/12/2020,Italy,156363,34211,19899
4/13/2020,Italy,159516,35435,20465
4/14/2020,Italy,162488,37130,21067
4/15/2020,Italy,165155,38092,21645
4/16/2020,Italy,168941,40164,22170
4/17/2020,Italy,172434,42727,22745
4/18/2020,Italy,175925,44927,23227
4/19/2020,Italy,178972,47055,23660
4/20/2020,Italy,181228,48877,24114
4/21/2020,Italy,183957,51600,24648
4/22/2020,Italy,187327,54543,25085
4/23/2020,Italy,189973,57576,25549
4/24/2020,Italy,192994,60498,25969
4/25/2020,Italy,195351,63120,26384
4/26/2020,Italy,197675,64928,26644
4/27/2020,Italy,199414,66624,26977
4/28/2020,Italy,201505,68941,27359
