Date,Country,Confirmed,Recovered,Deaths
4/1/2020,Russia,2777,190,24
4/2/2020,Russia,3548,235,30
4/3/2020,Russia,4149,281,34
4/4/2020,Russia,4731,333,43
4/5/2020,Russia,5389,355,45
4/6/2020,Russia,6343,406,47
4/7/2020,Russia,7497,494,58
4/8/2020,Russia,8672,580,63
4/9/2020,Russia,10131,698,76
4/10/2020,Russia,11917,795,94
4/11/2020,Russia,13584,1045,106
4/12/2020,Russia,15770,1291,130
4/13/2020,Russia,18328,1470,148
4/14/2020,Russia,21102,1694,170
4/15/2020,Russia,24490,1986,198
4/16/2020,Russia,27938,2304,232
4/17/2020,Russia,32008,2590,273
4/18/2020,Russia,36793,3057,313
4/19/2020,Russia,42853,3291,361
4/20/2020,Russia,47121,3446,405
4/21/2020,Russia,52763,3873,456
4/22/2020,Russia,57999,4420,513
4/23/2020,Russia,62773,4891,555
4/24/2020,Russia,68622,5568,615
4/25/2020,Russia,74588,6250,681
4/26/2020,Russia,80949,6767,747
4/27/2020,Russia,87147,7346,794
4/28/2020,Russia,93558,8456,867
