Date,Country,Confirmed,Recovered,Deaths
4/1/2020,Turkey,15679,333,277
4/2/2020,Turkey,18135,415,356
4/3/2020,Turkey,20921,484,425
4/4/2020,Turkey,23934,786,501
4/5/2020,Turkey,27069,1042,574
4/6/2020,Turkey,30217,1326,649
4/7/2020,Turkey,34109,1582,725
4/8/2020,Turkey,38226,1846,812
4/9/2020,Turkey,42282,2142,908
4/10/2020,Turkey,47029,2423,1006
4/11/2020,Turkey,52167,2965,1101
4/12/2020,Turkey,56956,3446,1198
4/13/2020,Turkey,61049,3957,1296
4/14/2020,Turkey,65111,4799,1403
4/15/2020,Turkey,69392,5674,1518
4/16/2020,Turkey,74193,7089,1643
4/17/2020,Turkey,78546,8631,1769
4/18/2020,Turkey,82329,10453,1890
4/19/2020,Turkey,86306,11976,2017
4/20/2020,Turkey,90980,13430,2140
4/21/2020,Turkey,95591,14918,2259
4/22/2020,Turkey,98674,16477,2376
4/23/2020,Turkey,101790,18491,2491
4/24/2020,Turkey,104912,21737,2600
4/25/2020,Turkey,107773,25582,2706
4/26/2020,Turkey,110130,29140,2805
4/27/2020,Turkey,112261,33791,2900
4/28/2020,Turkey,114653,38809,2992
