countries,total_recovered,active_cases,total_cases_per_million,death_per_million,new_cases,total_cases,total_deaths,new_deaths
USA,24562,413979,1373,49,19688,454615,454615,1286
Spain,52165,85043,3261,326,4226,152446,152446,446
Italy,28470,96877,2375,302,4204,143626,143626,610
France,23206,82333,1804,187,4799,117749,117749,1341
Germany,46300,66792,1379,29,2227,115523,115523,82
Iran,32309,29801,788,49,1634,66220,66220,117
UK,135,53501,895,105,0,60733,60733,0
Turkey,2142,39232,501,11,4056,42282,42282,96
Belgium,5164,17296,2156,218,1580,24983,24983,283
Switzerland,10600,12498,2778,110,766,24046,24046,53
Netherlands,250,19116,1270,140,1213,21762,21762,148
Canada,5196,14991,548,13,1252,20690,20690,76
Brazil,173,15462,78,4,286,16474,16474,19
Portugal,205,13342,1369,40,815,13956,13956,29
Austria,5240,7698,1469,33,291,13233,13233,22
S. Korea,6973,3246,203,4,39,10423,10423,4
Russia,698,9357,69,0.5,1459,10131,10131,13
Israel,864,8812,1127,9,351,9755,9755,6
Sweden,205,8143,905,79,722,9141,9141,106
India,602,5852,5,0.1,737,6653,6653,21
Ireland,25,6286,1331,53,500,6574,6574,28
Norway,32,6020,1136,20,118,6160,6160,7
Australia,2987,3066,239,2,52,6104,6104,1
Chile,1274,4641,312,3,426,5972,5972,9
Denmark,1736,3662,973,41,233,5635,5635,19
Poland,284,5117,147,5,370,5575,5575,15
Czechia,301,5054,511,10,155,5467,5467,13
Romania,647,4309,270,13,441,5202,5202,26
Ecuador,339,4354,281,15,515,4965,4965,30
Japan,632,3941,37,0.7,0,4667,4667,0
Pakistan,572,3854,20,0.3,226,4489,4489,2
Peru,1333,2888,132,4,0,4342,4342,0
Malaysia,1608,2553,131,2,109,4228,4228,2
Philippines,124,3749,37,2,206,4076,4076,21
Indonesia,252,2761,12,1,337,3293,3293,40
Saudi Arabia,666,2577,94,1,355,3287,3287,3
Mexico,633,2374,25,1,396,3181,3181,33
Luxembourg,500,2563,4976,83,81,3115,3115,6
Serbia,118,2683,328,8,201,2867,2867,1
UAE,239,2408,269,1,0,2659,2659,0
Finland,300,2263,470,8,118,2605,2605,2
Panama,16,2449,586,15,0,2528,2528,0
Thailand,940,1451,35,0.5,54,2423,2423,2
Qatar,206,2164,825,2,166,2376,2376,0
Dominican Republic,80,2151,217,11,238,2349,2349,10
Colombia,123,1876,40,1,0,2054,2054,0
Greece,269,1599,188,8,71,1955,1955,4
Singapore,460,1444,326,1,287,1910,1910,0
Ukraine,45,1790,43,1,224,1892,1892,5
South Africa,95,1732,31,0.3,0,1845,1845,0
Argentina,365,1359,40,2,0,1795,1795,6
Algeria,347,1084,38,5,94,1666,1666,30
Iceland,688,954,4829,18,32,1648,1648,0
Egypt,305,1152,15,1,0,1560,1560,0
Belarus,139,1331,157,2,420,1486,1486,3
Croatia,219,1168,343,5,64,1407,1407,1
Morocco,109,1168,37,3,99,1374,1374,4
Moldova,50,1210,320,7,115,1289,1289,2
New Zealand,317,921,257,0.2,29,1239,1239,0
Iraq,496,667,31,2,30,1232,1232,0
Estonia,83,1100,910,18,22,1207,1207,0
Slovenia,128,953,541,21,33,1124,1124,3
Hungary,96,818,101,7,85,980,980,8
Hong Kong,293,677,130,0.5,13,974,974,0
Lithuania,8,931,351,6,43,955,955,1
Azerbaijan,101,816,91,0.9,104,926,926,1
Armenia,138,773,311,3,40,921,921,1
Kuwait,111,798,213,0.2,55,910,910,0
Bahrain,495,355,502,3,32,855,855,0
Bosnia and Herzegovina,101,714,259,11,46,850,850,1
Kazakhstan,60,697,41,0.4,37,764,764,0
Cameroon,60,660,27,0.4,0,730,730,0
Diamond Princess,619,82,0,0,0,712,712,0
Slovakia,23,676,128,0.4,19,701,701,0
North Macedonia,37,596,318,14,46,663,663,1
Tunisia,25,593,54,2,15,643,643,1
Bulgaria,48,546,89,3,25,618,618,0
Latvia,16,570,312,2,12,589,589,1
Andorra,58,500,7545,324,19,583,583,2
Lebanon,67,496,85,3,6,582,582,0
Uzbekistan,38,541,17,0.09,37,582,582,0
Cyprus,53,501,467,8,38,564,564,1
Cuba,28,472,45,1,58,515,515,3
Costa Rica,29,470,99,0.6,0,502,502,0
Afghanistan,32,437,12,0.4,40,484,484,1
Oman,109,346,89,0.4,38,457,457,0
Uruguay,192,257,131,2,0,456,456,0
Burkina Faso,134,257,20,1,0,414,414,0
Albania,165,221,142,8,9,409,409,1
Ivory Coast,48,333,15,0.1,0,384,384,0
Taiwan,80,295,16,0.2,1,380,380,0
Jordan,161,204,36,0.7,14,372,372,1
Réunion,40,322,404,0,0,362,362,0
Channel Islands,40,313,2076,46,10,361,361,0
Honduras,6,314,35,2,31,343,343,1
Niger,28,303,14,0.5,0,342,342,0
Malta,16,319,763,5,38,337,337,1
Bangladesh,30,279,2,0.1,112,330,330,1
Mauritius,23,284,247,6,41,314,314,0
Ghana,34,273,10,0.2,0,313,313,0
San Marino,45,229,9077,1002,0,308,308,0
Kyrgyzstan,35,241,43,0.6,10,280,280,0
Nigeria,44,226,1,0.03,0,276,276,0
Bolivia,2,244,23,2,54,264,264,3
Palestine,44,218,52,0.2,0,263,263,0
Vietnam,128,127,3,0,4,255,255,0
Montenegro,4,246,401,3,4,252,252,0
Senegal,123,125,15,0.1,6,250,250,0
Georgia,51,164,55,0.8,7,218,218,0
Guinea,11,183,15,0,30,194,194,0
Sri Lanka,49,134,9,0.3,1,190,190,0
Isle of Man,92,97,2234,12,32,190,190,0
Kenya,12,165,3,0.1,5,184,184,1
Mayotte,22,160,674,7,0,184,184,0
Faeroe Islands,136,48,3766,0,0,184,184,0
DRC,9,153,2,0.2,0,180,180,0
Venezuela,65,93,6,0.3,0,167,167,0
Martinique,50,98,410,16,0,154,154,0
Guadeloupe,43,90,352,20,0,141,141,0
Brunei ,92,42,309,2,0,135,135,0
Djibouti,25,110,137,0,0,135,135,0
Paraguay,18,101,17,0.7,5,124,124,0
Gibraltar,60,63,3651,0,3,123,123,0
Cambodia,63,56,7,0,2,119,119,0
Rwanda,7,103,8,0,0,110,110,0
Trinidad and Tobago,1,100,78,6,2,109,109,0
El Salvador,10,88,16,0.8,10,103,103,0
Guatemala,17,75,5,0.2,8,95,95,0
Madagascar,11,82,3,0,0,93,93,0
Monaco,5,78,2141,25,3,84,84,0
French Guiana,43,40,278,0,0,83,83,0
Aruba,20,62,768,0,5,82,82,0
Liechtenstein,55,22,2046,26,0,78,78,0
Mali,22,45,4,0.3,15,74,74,0
Togo,24,46,9,0.4,3,73,73,0
Jamaica,10,49,21,1,0,63,63,0
Barbados,8,52,219,10,0,63,63,0
Congo,5,50,11,0.9,15,60,60,0
Ethiopia,4,50,0.5,0.02,1,56,56,0
Uganda,0,53,1,0,0,53,53,0
French Polynesia,0,51,182,0,0,51,51,0
Cayman Islands,6,38,685,15,0,45,45,0
Macao,10,35,69,0,0,45,45,0
Sint Maarten,1,36,1003,140,3,43,43,0
Bahamas,5,28,102,18,0,40,40,0
Bermuda,23,13,626,48,0,39,39,0
Zambia,7,31,2,0.05,0,39,39,0
Guyana,8,23,47,8,0,37,37,0
Guinea-Bissau,0,36,18,0,3,36,36,0
Gabon,1,32,15,0.4,0,34,34,0
Eritrea,0,33,9,0,0,33,33,0
Saint Martin,7,23,828,52,0,32,32,0
Liberia,3,24,6,0.8,0,31,31,0
Haiti,0,28,3,0.2,3,30,30,1
Benin,5,20,2,0.08,0,26,26,0
Tanzania,5,19,0.4,0.02,0,25,25,0
Myanmar,1,19,0.4,0.06,1,23,23,0
Libya,8,12,3,0.1,0,21,21,0
Angola,2,15,0.6,0.06,0,19,19,0
Antigua and Barbuda,0,17,194,20,0,19,19,0
Syria,4,13,1,0.1,0,19,19,0
Maldives,13,6,35,0,0,19,19,0
Equatorial Guinea,3,15,13,0,0,18,18,0
New Caledonia,1,17,63,0,0,18,18,0
Mozambique,1,16,0.5,0,0,17,17,0
Laos,0,16,2,0,1,16,16,0
Mongolia,4,12,5,0,0,16,16,0
Namibia,3,13,6,0,0,16,16,0
Sudan,2,11,0.3,0.05,1,15,15,0
Dominica,1,14,208,0,0,15,15,0
Fiji,0,15,17,0,0,15,15,0
Curaçao,7,6,85,6,0,14,14,0
Saint Lucia,1,13,76,0,0,14,14,0
Botswana,0,12,6,0.4,7,13,13,0
Somalia,1,10,0.8,0.06,0,12,12,0
Grenada,0,12,107,0,0,12,12,0
Eswatini,7,5,10,0,0,12,12,0
Zimbabwe,0,8,0.7,0.2,0,11,11,0
Greenland,11,0,194,0,0,11,11,0
Saint Kitts and Nevis,0,11,207,0,0,11,11,0
Seychelles,0,11,112,0,0,11,11,0
Suriname,4,5,17,2,0,10,10,0
Chad,2,8,0.6,0,0,10,10,0
MS Zaandam,0,7,0,0,0,9,9,0
Belize,0,8,23,3,1,9,9,0
Nepal,1,8,0.3,0,0,9,9,0
Montserrat,0,9,1803,0,0,9,9,0
Malawi,0,7,0.4,0.05,0,8,8,0
Turks and Caicos,0,7,207,26,0,8,8,0
CAR,0,8,2,0,0,8,8,0
Vatican City,2,6,9988,0,0,8,8,0
