countries,total_recovered,active_cases,total_cases_per_million,death_per_million,new_cases,total_cases,total_deaths,new_deaths
"
",47787.0,555376.0,0.0,0.0,1262.0,628326.0,0.0,51.0
"
",240117.0,601170.0,0.0,0.0,15674.0,923060.0,0.0,1784.0
"
",154300.0,149138.0,0.0,0.0,4767.0,315007.0,0.0,218.0
"
",9915.0,42975.0,0.0,0.0,476.0,55170.0,0.0,32.0
"
",4227.0,3560.0,0.0,0.0,58.0,7857.0,0.0,4.0
"
",3126.0,12330.0,0.0,0.0,352.0,16296.0,0.0,2.0
"
",639.0,68.0,0.0,0.0,0.0,721.0,0.0,0.0
World,460111.0,1364617.0,250.0,15.6,22589.0,1946437.0,0.0,2091.0
USA,37315.0,526846.0,1776.0,71.0,874.0,587815.0,0.0,14.0
Spain,67504.0,86981.0,3690.0,386.0,2442.0,172541.0,0.0,300.0
Italy,35435.0,103616.0,2638.0,338.0,0.0,159516.0,0.0,0.0
France,27718.0,94094.0,2095.0,229.0,0.0,136779.0,0.0,0.0
Germany,68200.0,59014.0,1557.0,38.0,362.0,130434.0,0.0,26.0
UK,0.0,81422.0,1383.0,178.0,5252.0,93873.0,0.0,778.0
Iran,48129.0,22065.0,891.0,56.0,1574.0,74877.0,0.0,98.0
Turkey,3957.0,55796.0,724.0,15.0,0.0,61049.0,0.0,0.0
Belgium,6868.0,20094.0,2685.0,359.0,530.0,31119.0,0.0,254.0
Netherlands,250.0,24224.0,1600.0,172.0,868.0,27419.0,0.0,122.0
Switzerland,13700.0,10952.0,2982.0,133.0,119.0,25807.0,0.0,17.0
Canada,7756.0,17144.0,680.0,21.0,0.0,25680.0,0.0,0.0
Brazil,2979.0,19536.0,112.0,6.0,440.0,23870.0,0.0,27.0
Russia,1694.0,19238.0,145.0,1.0,2774.0,21102.0,0.0,22.0
Portugal,347.0,16534.0,1711.0,56.0,514.0,17448.0,0.0,32.0
Austria,7633.0,6142.0,1572.0,43.0,118.0,14159.0,0.0,16.0
Israel,2000.0,9751.0,1371.0,14.0,282.0,11868.0,0.0,1.0
Sweden,381.0,10031.0,1133.0,102.0,497.0,11445.0,0.0,114.0
Ireland,25.0,10257.0,2156.0,74.0,0.0,10647.0,0.0,0.0
S. Korea,7534.0,2808.0,206.0,4.0,27.0,10564.0,0.0,5.0
India,1205.0,8978.0,8.0,0.3,88.0,10541.0,0.0,0.0
Peru,2642.0,6926.0,297.0,7.0,0.0,9784.0,0.0,0.0
Japan,799.0,6703.0,60.0,1.0,27.0,7645.0,0.0,0.0
Ecuador,597.0,6577.0,427.0,20.0,0.0,7529.0,0.0,0.0
Chile,2367.0,5076.0,394.0,4.0,0.0,7525.0,0.0,0.0
Poland,618.0,6180.0,186.0,7.0,115.0,7049.0,0.0,6.0
Romania,1051.0,5482.0,358.0,18.0,246.0,6879.0,0.0,15.0
Norway,32.0,6452.0,1222.0,26.0,20.0,6623.0,0.0,5.0
Denmark,2515.0,3682.0,1122.0,52.0,178.0,6496.0,0.0,14.0
Australia,3598.0,2741.0,251.0,2.0,41.0,6400.0,0.0,0.0
Czechia,527.0,5385.0,566.0,14.0,0.0,6059.0,0.0,4.0
Pakistan,1378.0,4363.0,26.0,0.4,341.0,5837.0,0.0,3.0
Saudi Arabia,889.0,4407.0,154.0,2.0,435.0,5369.0,0.0,8.0
Philippines,295.0,4593.0,48.0,3.0,291.0,5223.0,0.0,20.0
Mexico,1964.0,2718.0,39.0,3.0,353.0,5014.0,0.0,36.0
Malaysia,2478.0,2427.0,154.0,3.0,170.0,4987.0,0.0,5.0
Indonesia,426.0,3954.0,18.0,2.0,282.0,4839.0,0.0,60.0
UAE,852.0,3644.0,457.0,3.0,0.0,4521.0,0.0,0.0
Serbia,400.0,3971.0,511.0,11.0,411.0,4465.0,0.0,9.0
Panama,61.0,3317.0,805.0,22.0,0.0,3472.0,0.0,0.0
Qatar,373.0,3048.0,1190.0,2.0,197.0,3428.0,0.0,0.0
Ukraine,119.0,3155.0,77.0,2.0,270.0,3372.0,0.0,5.0
Luxembourg,500.0,2723.0,5259.0,110.0,0.0,3292.0,0.0,0.0
Belarus,203.0,3045.0,347.0,3.0,362.0,3281.0,0.0,4.0
Dominican Republic,152.0,2838.0,292.0,16.0,0.0,3167.0,0.0,0.0
Finland,300.0,2797.0,571.0,12.0,97.0,3161.0,0.0,5.0
Singapore,586.0,2323.0,499.0,2.0,0.0,2918.0,0.0,0.0
Colombia,319.0,2421.0,56.0,2.0,0.0,2852.0,0.0,0.0
Thailand,1405.0,1167.0,37.0,0.6,34.0,2613.0,0.0,1.0
South Africa,410.0,1978.0,41.0,0.5,143.0,2415.0,0.0,0.0
Argentina,559.0,1617.0,50.0,2.0,0.0,2277.0,0.0,3.0
Egypt,589.0,1437.0,21.0,2.0,0.0,2190.0,0.0,0.0
Greece,269.0,1777.0,206.0,9.0,0.0,2145.0,0.0,0.0
Algeria,601.0,1069.0,45.0,7.0,0.0,1983.0,0.0,0.0
Moldova,134.0,1677.0,458.0,9.0,135.0,1847.0,0.0,1.0
Morocco,210.0,1502.0,50.0,3.0,75.0,1838.0,0.0,0.0
Iceland,933.0,770.0,5014.0,23.0,0.0,1711.0,0.0,0.0
Croatia,415.0,1258.0,415.0,8.0,54.0,1704.0,0.0,6.0
Bahrain,645.0,870.0,894.0,4.0,161.0,1522.0,0.0,1.0
Hungary,122.0,1268.0,157.0,13.0,54.0,1512.0,0.0,13.0
Iraq,717.0,583.0,34.0,2.0,0.0,1378.0,0.0,0.0
Estonia,115.0,1227.0,1035.0,23.0,41.0,1373.0,0.0,3.0
New Zealand,628.0,729.0,283.0,2.0,17.0,1366.0,0.0,4.0
Kuwait,176.0,1176.0,317.0,0.7,55.0,1355.0,0.0,1.0
Slovenia,152.0,1012.0,587.0,27.0,8.0,1220.0,0.0,1.0
Kazakhstan,203.0,985.0,64.0,0.7,111.0,1202.0,0.0,2.0
Azerbaijan,351.0,833.0,118.0,1.0,49.0,1197.0,0.0,1.0
Uzbekistan,99.0,1010.0,33.0,0.1,115.0,1113.0,0.0,0.0
Bosnia and Herzegovina,236.0,807.0,330.0,12.0,46.0,1083.0,0.0,1.0
Lithuania,101.0,945.0,393.0,9.0,8.0,1070.0,0.0,0.0
Armenia,265.0,786.0,360.0,5.0,28.0,1067.0,0.0,2.0
Hong Kong,434.0,575.0,135.0,0.5,3.0,1013.0,0.0,0.0
Bangladesh,42.0,924.0,6.0,0.3,209.0,1012.0,0.0,7.0
North Macedonia,86.0,778.0,436.0,21.0,54.0,908.0,0.0,6.0
Cameroon,130.0,704.0,32.0,0.5,0.0,848.0,0.0,2.0
Slovakia,107.0,726.0,153.0,0.4,66.0,835.0,0.0,0.0
Oman,130.0,679.0,159.0,0.8,86.0,813.0,0.0,0.0
Tunisia,43.0,649.0,61.0,3.0,0.0,726.0,0.0,0.0
Cuba,121.0,584.0,64.0,2.0,0.0,726.0,0.0,0.0
Afghanistan,40.0,651.0,18.0,0.6,49.0,714.0,0.0,2.0
Diamond Princess,639.0,61.0,0.0,0.0,0.0,712.0,0.0,0.0
Bulgaria,81.0,579.0,100.0,5.0,10.0,695.0,0.0,3.0
Cyprus,65.0,585.0,548.0,10.0,0.0,662.0,0.0,0.0
Latvia,16.0,636.0,348.0,3.0,2.0,657.0,0.0,0.0
Andorra,128.0,489.0,8361.0,375.0,0.0,646.0,0.0,0.0
Lebanon,80.0,540.0,94.0,3.0,9.0,641.0,0.0,1.0
Ivory Coast,89.0,531.0,24.0,0.2,0.0,626.0,0.0,0.0
Costa Rica,62.0,547.0,120.0,0.6,0.0,612.0,0.0,0.0
Ghana,4.0,554.0,18.0,0.3,0.0,566.0,0.0,0.0
Niger,86.0,449.0,23.0,0.5,0.0,548.0,0.0,0.0
Burkina Faso,161.0,327.0,25.0,1.0,0.0,515.0,0.0,0.0
Uruguay,248.0,227.0,139.0,2.0,0.0,483.0,0.0,0.0
Albania,248.0,203.0,165.0,8.0,8.0,475.0,0.0,1.0
Channel Islands,48.0,379.0,2508.0,52.0,0.0,436.0,0.0,0.0
Kyrgyzstan,71.0,354.0,66.0,0.8,11.0,430.0,0.0,0.0
Honduras,7.0,374.0,41.0,3.0,10.0,407.0,0.0,1.0
Taiwan,124.0,263.0,17.0,0.3,0.0,393.0,0.0,0.0
