confirmed,country,date,deaths,lat,lon,province,recovered
2894,Afghanistan,2020-05-04,90,33.0,65.0,,397
803,Albania,2020-05-04,31,41.1533,20.1683,,543
4648,Algeria,2020-05-04,465,28.0339,1.6596,,1998
750,Andorra,2020-05-04,45,42.5063,1.5218,,499
35,Angola,2020-05-04,2,-11.2027,17.8739,,11
25,Antigua and Barbuda,2020-05-04,3,17.0608,-61.7964,,15
4887,Argentina,2020-05-04,260,-38.4161,-63.6167,,1442
2507,Armenia,2020-05-04,39,40.0691,45.0382,,1071
107,Australia,2020-05-04,3,-35.4735,149.0124,Australian Capital Territory,103
3035,Australia,2020-05-04,43,-33.8688,151.2093,New South Wales,2349
29,Australia,2020-05-04,0,-12.4634,130.8456,Northern Territory,24
1043,Australia,2020-05-04,6,-28.0167,153.4,Queensland,980
438,Australia,2020-05-04,4,-34.9285,138.6007,South Australia,427
221,Australia,2020-05-04,13,-41.4545,145.9707,Tasmania,165
1423,Australia,2020-05-04,18,-37.8136,144.9631,Victoria,1311
551,Australia,2020-05-04,9,-31.9505,115.8605,Western Australia,528
15621,Austria,2020-05-04,600,47.5162,14.5501,,13316
1984,Azerbaijan,2020-05-04,26,40.1431,47.5769,,1480
83,Bahamas,2020-05-04,11,25.0343,-77.3963,,25
3533,Bahrain,2020-05-04,8,26.0275,50.55,,1744
10143,Bangladesh,2020-05-04,182,23.685,90.3563,,1209
82,Barbados,2020-05-04,7,13.1939,-59.5432,,46
17489,Belarus,2020-05-04,103,53.7098,27.9534,,3259
50267,Belgium,2020-05-04,7924,50.8333,4.0,,12378
18,Belize,2020-05-04,2,13.1939,-59.5432,,14
96,Benin,2020-05-04,2,9.3077,2.3158,,50
7,Bhutan,2020-05-04,0,27.5142,90.4336,,5
1681,Bolivia,2020-05-04,82,-16.2902,-63.5887,,174
1926,Bosnia and Herzegovina,2020-05-04,78,43.9159,17.6791,,855
23,Botswana,2020-05-04,1,-22.3285,24.6849,,8
108620,Brazil,2020-05-04,7367,-14.235,-51.9253,,45815
138,Brunei,2020-05-04,1,4.5353,114.7277,,130
1652,Bulgaria,2020-05-04,78,42.7339,25.4858,,321
672,Burkina Faso,2020-05-04,46,12.2383,-1.5616,,545
161,Burma,2020-05-04,6,21.9162,95.956,,49
15,Burundi,2020-05-04,1,-3.3731,29.9189,,7
175,Cabo Verde,2020-05-04,2,16.5388,-23.0418,,37
122,Cambodia,2020-05-04,0,11.55,104.9167,,120
2104,Cameroon,2020-05-04,64,3.8480000000000003,11.5021,,953
5836,Canada,2020-05-04,104,53.9333,-116.5765,Alberta,0
2224,Canada,2020-05-04,117,49.2827,-123.1207,British Columbia,0
1,Canada,2020-05-04,1,0.0,0.0,Diamond Princess,0
13,Canada,2020-05-04,0,37.6489,-122.6655,Grand Princess,0
283,Canada,2020-05-04,6,53.7609,-98.8139,Manitoba,0
118,Canada,2020-05-04,0,46.5653,-66.4619,New Brunswick,0
259,Canada,2020-05-04,3,53.1355,-57.6604,Newfoundland and Labrador,0
5,Canada,2020-05-04,0,64.8255,-124.8457,Northwest Territories,0
985,Canada,2020-05-04,38,44.681999999999995,-63.7443,Nova Scotia,0
19097,Canada,2020-05-04,1446,51.2538,-85.3232,Ontario,0
27,Canada,2020-05-04,0,46.5107,-63.4168,Prince Edward Island,0
32631,Canada,2020-05-04,2281,52.9399,-73.5491,Quebec,0
0,Canada,2020-05-04,0,56.1304,-106.3468,Recovery aggregated,26030
467,Canada,2020-05-04,7,52.9399,-106.4509,Saskatchewan,0
11,Canada,2020-05-04,0,64.2823,-135.0,Yukon,0
85,Central African Republic,2020-05-04,0,6.6111,20.9394,,10
117,Chad,2020-05-04,10,15.4542,18.7322,,39
20643,Chile,2020-05-04,270,-35.6751,-71.543,,10415
991,China,2020-05-04,6,31.8257,117.2264,Anhui,985
593,China,2020-05-04,9,40.1824,116.4142,Beijing,554
579,China,2020-05-04,6,30.0572,107.874,Chongqing,573
356,China,2020-05-04,1,26.0789,117.9874,Fujian,353
139,China,2020-05-04,2,37.8099,101.0583,Gansu,137
1588,China,2020-05-04,8,23.3417,113.4244,Guangdong,1571
254,China,2020-05-04,2,23.8298,108.7881,Guangxi,252
147,China,2020-05-04,2,26.8154,106.8748,Guizhou,145
168,China,2020-05-04,6,19.1959,109.7453,Hainan,162
328,China,2020-05-04,6,39.549,116.1306,Hebei,320
944,China,2020-05-04,13,47.861999999999995,127.7615,Heilongjiang,719
1276,China,2020-05-04,22,33.882,113.61399999999999,Henan,1254
1040,China,2020-05-04,4,22.3,114.2,Hong Kong,900
68128,China,2020-05-04,4512,30.9756,112.2707,Hubei,63616
1019,China,2020-05-04,4,27.6104,111.7088,Hunan,1015
201,China,2020-05-04,1,44.0935,113.9448,Inner Mongolia,160
653,China,2020-05-04,0,32.9711,119.455,Jiangsu,650
937,China,2020-05-04,1,27.614,115.7221,Jiangxi,936
112,China,2020-05-04,1,43.6661,126.1923,Jilin,103
146,China,2020-05-04,2,41.2956,122.6085,Liaoning,144
45,China,2020-05-04,0,22.1667,113.55,Macau,39
75,China,2020-05-04,0,37.2692,106.1655,Ningxia,75
18,China,2020-05-04,0,35.7452,95.9956,Qinghai,18
306,China,2020-05-04,3,35.1917,108.8701,Shaanxi,263
788,China,2020-05-04,7,36.3427,118.1498,Shandong,773
656,China,2020-05-04,7,31.201999999999998,121.4491,Shanghai,619
198,China,2020-05-04,0,37.5777,112.2922,Shanxi,190
561,China,2020-05-04,3,30.6171,102.7103,Sichuan,558
190,China,2020-05-04,3,39.3054,117.323,Tianjin,186
1,China,2020-05-04,0,31.6927,88.0924,Tibet,1
76,China,2020-05-04,3,41.1129,85.2401,Xinjiang,73
185,China,2020-05-04,2,24.974,101.48700000000001,Yunnan,181
1268,China,2020-05-04,1,29.1832,120.0934,Zhejiang,1267
7973,Colombia,2020-05-04,358,4.5709,-74.2973,,1807
3,Comoros,2020-05-04,0,-11.6455,43.3333,,0
236,Congo (Brazzaville),2020-05-04,10,-4.0383,21.7587,,26
682,Congo (Kinshasa),2020-05-04,34,-4.0383,21.7587,,80
742,Costa Rica,2020-05-04,6,9.7489,-83.7534,,399
1432,Cote d'Ivoire,2020-05-04,17,7.54,-5.5471,,693
2101,Croatia,2020-05-04,80,45.1,15.2,,1522
1668,Cuba,2020-05-04,69,22.0,-80.0,,876
874,Cyprus,2020-05-04,15,35.1264,33.4299,,296
7819,Czechia,2020-05-04,252,49.8175,15.472999999999999,,3807
9670,Denmark,2020-05-04,493,56.2639,9.5018,,7088
187,Denmark,2020-05-04,0,61.8926,-6.9118,Faroe Islands,185
11,Denmark,2020-05-04,0,71.7069,-42.6043,Greenland,11
712,Diamond Princess,2020-05-04,13,0.0,0.0,,645
1116,Djibouti,2020-05-04,2,11.8251,42.5903,,713
16,Dominica,2020-05-04,0,15.415,-61.371,,13
8235,Dominican Republic,2020-05-04,346,18.7357,-70.1627,,1771
31881,Ecuador,2020-05-04,1569,-1.8312,-78.1834,,3433
6813,Egypt,2020-05-04,436,26.0,30.0,,1632
555,El Salvador,2020-05-04,13,13.7942,-88.8965,,180
315,Equatorial Guinea,2020-05-04,3,1.5,10.0,,13
39,Eritrea,2020-05-04,0,15.1794,39.7823,,26
1703,Estonia,2020-05-04,55,58.5953,25.0136,,259
116,Eswatini,2020-05-04,1,-26.5225,31.4659,,12
140,Ethiopia,2020-05-04,3,9.145,40.4897,,75
18,Fiji,2020-05-04,0,-17.7134,178.065,,14
5327,Finland,2020-05-04,240,64.0,26.0,,3500
167886,France,2020-05-04,25168,46.2276,2.2137,,50438
