new_cases,total_cases,total_deaths,new_deaths
1,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
3,4,0,0
3,7,0,0
3,10,0,0
6,16,0,0
5,21,0,0
1,22,0,0
0,22,0,0
0,22,0,0
2,24,0,0
0,24,0,0
10,34,0,0
6,40,1,1
2,42,1,0
33,75,1,0
0,75,1,0
16,91,2,1
15,106,3,1
8,114,4,1
27,141,4,0
25,166,4,0
26,192,4,0
43,235,4,0
0,235,4,0
35,270,5,1
29,299,7,2
38,337,7,0
30,367,11,4
56,423,14,3
61,484,15,1
37,521,15,0
34,555,18,3
52,607,18,0
2,2,0,0
4,6,0,0
4,10,0,0
1,11,1,1
12,23,1,0
10,33,1,0
5,38,1,0
4,42,1,0
9,51,1,0
4,55,1,0
4,59,2,1
11,70,2,0
0,70,2,0
6,76,2,0
13,89,2,0
11,100,4,2
23,123,5,1
23,146,5,0
28,174,6,1
12,186,9,3
11,197,10,1
15,212,10,0
11,223,12,2
20,243,15,3
16,259,15,0
18,277,16,1
27,304,17,1
29,333,19,2
28,361,21,2
16,377,22,1
6,383,22,0
17,400,22,0
9,409,23,1
7,416,23,0
17,433,23,0
13,446,23,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
2,3,0,0
2,5,0,0
7,12,0,0
5,17,0,0
3,20,0,0
0,20,0,0
4,24,1,1
2,26,2,1
11,37,2,0
