confirmed,date,deaths,lat,lon,recovered
0,2020-01-22,0,21.0,78.0,0
0,2020-01-23,0,21.0,78.0,0
0,2020-01-24,0,21.0,78.0,0
0,2020-01-25,0,21.0,78.0,0
0,2020-01-26,0,21.0,78.0,0
0,2020-01-27,0,21.0,78.0,0
0,2020-01-28,0,21.0,78.0,0
0,2020-01-29,0,21.0,78.0,0
1,2020-01-30,0,21.0,78.0,0
1,2020-01-31,0,21.0,78.0,0
1,2020-02-01,0,21.0,78.0,0
2,2020-02-02,0,21.0,78.0,0
3,2020-02-03,0,21.0,78.0,0
3,2020-02-04,0,21.0,78.0,0
3,2020-02-05,0,21.0,78.0,0
3,2020-02-06,0,21.0,78.0,0
3,2020-02-07,0,21.0,78.0,0
3,2020-02-08,0,21.0,78.0,0
3,2020-02-09,0,21.0,78.0,0
3,2020-02-10,0,21.0,78.0,0
3,2020-02-11,0,21.0,78.0,0
3,2020-02-12,0,21.0,78.0,0
3,2020-02-13,0,21.0,78.0,0
3,2020-02-14,0,21.0,78.0,0
3,2020-02-15,0,21.0,78.0,0
3,2020-02-16,0,21.0,78.0,3
3,2020-02-17,0,21.0,78.0,3
3,2020-02-18,0,21.0,78.0,3
3,2020-02-19,0,21.0,78.0,3
3,2020-02-20,0,21.0,78.0,3
3,2020-02-21,0,21.0,78.0,3
3,2020-02-22,0,21.0,78.0,3
3,2020-02-23,0,21.0,78.0,3
3,2020-02-24,0,21.0,78.0,3
3,2020-02-25,0,21.0,78.0,3
3,2020-02-26,0,21.0,78.0,3
3,2020-02-27,0,21.0,78.0,3
3,2020-02-28,0,21.0,78.0,3
3,2020-02-29,0,21.0,78.0,3
3,2020-03-01,0,21.0,78.0,3
5,2020-03-02,0,21.0,78.0,3
5,2020-03-03,0,21.0,78.0,3
28,2020-03-04,0,21.0,78.0,3
30,2020-03-05,0,21.0,78.0,3
31,2020-03-06,0,21.0,78.0,3
34,2020-03-07,0,21.0,78.0,3
39,2020-03-08,0,21.0,78.0,3
43,2020-03-09,0,21.0,78.0,3
56,2020-03-10,0,21.0,78.0,4
62,2020-03-11,1,21.0,78.0,4
73,2020-03-12,1,21.0,78.0,4
82,2020-03-13,2,21.0,78.0,4
102,2020-03-14,2,21.0,78.0,4
113,2020-03-15,2,21.0,78.0,13
119,2020-03-16,2,21.0,78.0,13
142,2020-03-17,3,21.0,78.0,14
156,2020-03-18,3,21.0,78.0,14
194,2020-03-19,4,21.0,78.0,15
244,2020-03-20,5,21.0,78.0,20
330,2020-03-21,4,21.0,78.0,23
396,2020-03-22,7,21.0,78.0,27
499,2020-03-23,10,21.0,78.0,27
536,2020-03-24,10,21.0,78.0,40
657,2020-03-25,12,21.0,78.0,43
727,2020-03-26,20,21.0,78.0,45
887,2020-03-27,20,21.0,78.0,73
987,2020-03-28,24,21.0,78.0,84
1024,2020-03-29,27,21.0,78.0,95
1251,2020-03-30,32,21.0,78.0,102
1397,2020-03-31,35,21.0,78.0,123
1998,2020-04-01,58,21.0,78.0,148
2543,2020-04-02,72,21.0,78.0,191
2567,2020-04-03,72,21.0,78.0,192
3082,2020-04-04,86,21.0,78.0,229
3588,2020-04-05,99,21.0,78.0,229
4778,2020-04-06,136,21.0,78.0,375
5311,2020-04-07,150,21.0,78.0,421
5916,2020-04-08,178,21.0,78.0,506
6725,2020-04-09,226,21.0,78.0,620
7598,2020-04-10,246,21.0,78.0,774
8446,2020-04-11,288,21.0,78.0,969
9205,2020-04-12,331,21.0,78.0,1080
10453,2020-04-13,358,21.0,78.0,1181
11487,2020-04-14,393,21.0,78.0,1359
12322,2020-04-15,405,21.0,78.0,1432
13430,2020-04-16,448,21.0,78.0,1768
14352,2020-04-17,486,21.0,78.0,2041
15722,2020-04-18,521,21.0,78.0,2463
17615,2020-04-19,559,21.0,78.0,2854
18539,2020-04-20,592,21.0,78.0,3273
20080,2020-04-21,645,21.0,78.0,3975
21370,2020-04-22,681,21.0,78.0,4370
23077,2020-04-23,721,21.0,78.0,5012
24530,2020-04-24,780,21.0,78.0,5498
26283,2020-04-25,825,21.0,78.0,5939
27890,2020-04-26,881,21.0,78.0,6523
29451,2020-04-27,939,21.0,78.0,7137
31324,2020-04-28,1008,21.0,78.0,7747
33062,2020-04-29,1079,21.0,78.0,8437
34863,2020-04-30,1154,21.0,78.0,9068
37257,2020-05-01,1223,21.0,78.0,10007
39699,2020-05-02,1323,21.0,78.0,10819
42505,2020-05-03,1391,21.0,78.0,11775
46437,2020-05-04,1566,21.0,78.0,12847
