China,82816,12,77346,838,58,3,4632,0
USA,960651,35419,118162,788233,2902,164,54256,2065
Spain,223759,3995,95708,105149,4786,490,22902,378
Italy,195351,2357,63120,105847,3231,436,26384,415
France,161488,1660,44594,94280,2474,346,22614,369
Germany,156513,1514,109800,40836,1868,70,5877,117
UK,148377,4913,0,127714,2186,299,20319,813
Turkey,107773,2861,25582,79485,1278,32,2706,106
Iran,89328,1134,68193,15485,1064,67,5650,76
Russia,74588,5966,6250,67657,511,5,681,66
Brazil,59196,6201,29160,25991,278,19,4045,375
Canada,45354,1466,16425,26464,1202,65,2465,163
Belgium,45325,1032,10417,27991,3911,597,6917,238
Netherlands,37190,655,0,32531,2170,257,4409,120
Switzerland,28894,217,21300,5995,3339,185,1599,10
India,26283,1836,5939,19519,19,0.6,825,45
Peru,25331,3683,7797,16834,768,21,700,66
Portugal,23392,595,1277,21235,2294,86,880,26
Ecuador,22719,0,1366,20777,1288,33,576,0
Ireland,18561,377,9233,8265,3759,215,1063,49
Sweden,18177,610,1005,14980,1800,217,2192,40
Saudi Arabia,16299,1197,2215,13948,468,4,136,9
Israel,15298,240,6435,8664,1767,23,199,5
Austria,15148,77,12103,2509,1682,60,536,6
Japan,13231,519,1656,11215,105,3,360,15
Mexico,12872,1239,7149,4502,100,9,1221,152
Chile,12858,552,6746,5931,673,9,181,7
Pakistan,12723,783,2866,9588,58,1,269,16
Singapore,12693,618,1002,11679,2170,2,12,0
Poland,11273,381,2126,8623,298,14,524,30
S. Korea,10718,10,8635,1843,209,5,240,0
Romania,10635,218,2890,7144,553,31,601,34
UAE,9813,532,1887,7855,992,7,71,7
Belarus,9590,817,1573,7950,1015,7,67,4
Qatar,9358,833,929,8419,3248,3,10,0
Indonesia,8607,396,1042,6845,31,3,720,31
Denmark,8445,235,5669,2358,1458,72,418,15
Ukraine,8125,478,782,7142,186,5,201,8
Serbia,7779,296,1152,6476,890,17,151,7
Norway,7493,30,32,7260,1382,37,201,2
Czechia,7352,79,2453,4681,687,20,218,4
Philippines,7294,102,792,6008,67,5,494,17
Australia,6695,20,5372,1243,263,3,80,1
Dominican Republic,5926,177,822,4831,546,25,273,6
Malaysia,5742,51,3762,1882,177,3,98,2
Panama,5338,172,319,4865,1237,36,154,8
Colombia,5142,261,1067,3842,101,5,233,8
Bangladesh,4998,309,113,4745,30,0.9,140,9
Finland,4475,80,2500,1789,808,34,186,9
South Africa,4361,141,1473,2802,74,1,86,7
Egypt,4319,227,1114,2898,42,3,307,13
Morocco,3897,139,537,3201,106,4,159,1
Argentina,3780,173,1030,2565,84,4,185,9
Luxembourg,3711,16,3088,538,5928,136,85,0
Moldova,3304,194,825,2385,819,23,94,10
Algeria,3256,129,1479,1358,74,10,419,4
Thailand,2907,53,2547,309,42,0.7,51,1
Kuwait,2892,278,656,2217,677,4,19,4
Kazakhstan,2601,185,646,1930,139,1,25,0
Bahrain,2588,70,1160,1420,1521,5,8,0
Greece,2506,16,577,1799,240,12,130,0
Hungary,2443,60,458,1723,253,27,262,12
Croatia,2016,7,1034,928,491,13,54,3
Oman,1905,115,329,1566,373,2,10,0
Uzbekistan,1862,58,707,1147,56,0.2,8,0
Iceland,1790,1,1570,210,5246,29,10,0
Iraq,1763,55,1224,453,44,2,86,0
Armenia,1677,81,803,846,566,9,28,1
Estonia,1635,30,228,1361,1233,35,46,0
Azerbaijan,1617,25,1080,516,159,2,21,0
Cameroon,1518,88,697,768,57,2,53,10
Bosnia and Herzegovina,1486,65,592,837,453,17,57,2
Afghanistan,1463,112,188,1228,38,1,47,4
New Zealand,1461,5,1118,325,303,4,18,1
Lithuania,1426,16,460,925,524,15,41,1
Slovenia,1388,15,219,1088,668,39,81,1
Slovakia,1373,13,386,970,251,3,17,0
