confirmed,country,date,deaths,lat,lon,province,recovered
0,Afghanistan,1/22/2020,0,33,65,,0
0,Afghanistan,1/23/2020,0,33,65,,0
0,Afghanistan,1/24/2020,0,33,65,,0
0,Afghanistan,1/25/2020,0,33,65,,0
0,Afghanistan,1/26/2020,0,33,65,,0
0,Afghanistan,1/27/2020,0,33,65,,0
0,Afghanistan,1/28/2020,0,33,65,,0
0,Afghanistan,1/29/2020,0,33,65,,0
0,Afghanistan,1/30/2020,0,33,65,,0
0,Afghanistan,1/31/2020,0,33,65,,0
0,Afghanistan,2/1/2020,0,33,65,,0
0,Afghanistan,2/2/2020,0,33,65,,0
0,Afghanistan,2/3/2020,0,33,65,,0
0,Afghanistan,2/4/2020,0,33,65,,0
0,Afghanistan,2/5/2020,0,33,65,,0
0,Afghanistan,2/6/2020,0,33,65,,0
0,Afghanistan,2/7/2020,0,33,65,,0
0,Afghanistan,2/8/2020,0,33,65,,0
0,Afghanistan,2/9/2020,0,33,65,,0
0,Afghanistan,2/10/2020,0,33,65,,0
0,Afghanistan,2/11/2020,0,33,65,,0
0,Afghanistan,2/12/2020,0,33,65,,0
0,Afghanistan,2/13/2020,0,33,65,,0
0,Afghanistan,2/14/2020,0,33,65,,0
0,Afghanistan,2/15/2020,0,33,65,,0
0,Afghanistan,2/16/2020,0,33,65,,0
0,Afghanistan,2/17/2020,0,33,65,,0
0,Afghanistan,2/18/2020,0,33,65,,0
0,Afghanistan,2/19/2020,0,33,65,,0
0,Afghanistan,2/20/2020,0,33,65,,0
0,Afghanistan,2/21/2020,0,33,65,,0
0,Afghanistan,2/22/2020,0,33,65,,0
0,Afghanistan,2/23/2020,0,33,65,,0
1,Afghanistan,2/24/2020,0,33,65,,0
1,Afghanistan,2/25/2020,0,33,65,,0
1,Afghanistan,2/26/2020,0,33,65,,0
1,Afghanistan,2/27/2020,0,33,65,,0
1,Afghanistan,2/28/2020,0,33,65,,0
1,Afghanistan,2/29/2020,0,33,65,,0
1,Afghanistan,3/1/2020,0,33,65,,0
1,Afghanistan,3/2/2020,0,33,65,,0
1,Afghanistan,3/3/2020,0,33,65,,0
1,Afghanistan,3/4/2020,0,33,65,,0
1,Afghanistan,3/5/2020,0,33,65,,0
1,Afghanistan,3/6/2020,0,33,65,,0
1,Afghanistan,3/7/2020,0,33,65,,0
4,Afghanistan,3/8/2020,0,33,65,,0
4,Afghanistan,3/9/2020,0,33,65,,0
5,Afghanistan,3/10/2020,0,33,65,,0
7,Afghanistan,3/11/2020,0,33,65,,0
7,Afghanistan,3/12/2020,0,33,65,,0
7,Afghanistan,3/13/2020,0,33,65,,0
11,Afghanistan,3/14/2020,0,33,65,,0
16,Afghanistan,3/15/2020,0,33,65,,0
21,Afghanistan,3/16/2020,0,33,65,,1
22,Afghanistan,3/17/2020,0,33,65,,1
22,Afghanistan,3/18/2020,0,33,65,,1
22,Afghanistan,3/19/2020,0,33,65,,1
24,Afghanistan,3/20/2020,0,33,65,,1
24,Afghanistan,3/21/2020,0,33,65,,1
40,Afghanistan,3/22/2020,1,33,65,,1
40,Afghanistan,3/23/2020,1,33,65,,1
74,Afghanistan,3/24/2020,1,33,65,,1
84,Afghanistan,3/25/2020,2,33,65,,2
94,Afghanistan,3/26/2020,4,33,65,,2
110,Afghanistan,3/27/2020,4,33,65,,2
110,Afghanistan,3/28/2020,4,33,65,,2
120,Afghanistan,3/29/2020,4,33,65,,2
170,Afghanistan,3/30/2020,4,33,65,,2
174,Afghanistan,3/31/2020,4,33,65,,5
237,Afghanistan,4/1/2020,4,33,65,,5
273,Afghanistan,4/2/2020,6,33,65,,10
281,Afghanistan,4/3/2020,6,33,65,,10
299,Afghanistan,4/4/2020,7,33,65,,10
349,Afghanistan,4/5/2020,7,33,65,,15
367,Afghanistan,4/6/2020,11,33,65,,18
423,Afghanistan,4/7/2020,14,33,65,,18
444,Afghanistan,4/8/2020,14,33,65,,29
484,Afghanistan,4/9/2020,15,33,65,,32
521,Afghanistan,4/10/2020,15,33,65,,32
555,Afghanistan,4/11/2020,18,33,65,,32
607,Afghanistan,4/12/2020,18,33,65,,32
665,Afghanistan,4/13/2020,21,33,65,,32
714,Afghanistan,4/14/2020,23,33,65,,40
784,Afghanistan,4/15/2020,25,33,65,,43
840,Afghanistan,4/16/2020,30,33,65,,54
906,Afghanistan,4/17/2020,30,33,65,,99
933,Afghanistan,4/18/2020,30,33,65,,112
996,Afghanistan,4/19/2020,33,33,65,,131
1026,Afghanistan,4/20/2020,36,33,65,,135
1092,Afghanistan,4/21/2020,36,33,65,,150
1176,Afghanistan,4/22/2020,40,33,65,,166
1279,Afghanistan,4/23/2020,42,33,65,,179
1351,Afghanistan,4/24/2020,43,33,65,,188
1463,Afghanistan,4/25/2020,47,33,65,,188
1531,Afghanistan,4/26/2020,50,33,65,,207
1703,Afghanistan,4/27/2020,57,33,65,,220
1828,Afghanistan,4/28/2020,58,33,65,,228
1939,Afghanistan,4/29/2020,60,33,65,,252
2171,Afghanistan,4/30/2020,64,33,65,,260
2335,Afghanistan,5/1/2020,68,33,65,,310
2469,Afghanistan,5/2/2020,72,33,65,,331
2704,Afghanistan,5/3/2020,85,33,65,,345
2894,Afghanistan,5/4/2020,90,33,65,,397
0,Albania,1/22/2020,0,41.1533,20.1683,,0
0,Albania,1/23/2020,0,41.1533,20.1683,,0
0,Albania,1/24/2020,0,41.1533,20.1683,,0
0,Albania,1/25/2020,0,41.1533,20.1683,,0
0,Albania,1/26/2020,0,41.1533,20.1683,,0
0,Albania,1/27/2020,0,41.1533,20.1683,,0
0,Albania,1/28/2020,0,41.1533,20.1683,,0
0,Albania,1/29/2020,0,41.1533,20.1683,,0
0,Albania,1/30/2020,0,41.1533,20.1683,,0
0,Albania,1/31/2020,0,41.1533,20.1683,,0
0,Albania,2/1/2020,0,41.1533,20.1683,,0
0,Albania,2/2/2020,0,41.1533,20.1683,,0
0,Albania,2/3/2020,0,41.1533,20.1683,,0
0,Albania,2/4/2020,0,41.1533,20.1683,,0
0,Albania,2/5/2020,0,41.1533,20.1683,,0
0,Albania,2/6/2020,0,41.1533,20.1683,,0
0,Albania,2/7/2020,0,41.1533,20.1683,,0
0,Albania,2/8/2020,0,41.1533,20.1683,,0
0,Albania,2/9/2020,0,41.1533,20.1683,,0
0,Albania,2/10/2020,0,41.1533,20.1683,,0
0,Albania,2/11/2020,0,41.1533,20.1683,,0
0,Albania,2/12/2020,0,41.1533,20.1683,,0
0,Albania,2/13/2020,0,41.1533,20.1683,,0
0,Albania,2/14/2020,0,41.1533,20.1683,,0
0,Albania,2/15/2020,0,41.1533,20.1683,,0
0,Albania,2/16/2020,0,41.1533,20.1683,,0
0,Albania,2/17/2020,0,41.1533,20.1683,,0
0,Albania,2/18/2020,0,41.1533,20.1683,,0
0,Albania,2/19/2020,0,41.1533,20.1683,,0
