confirmed,deaths,recovered,month,day
0.0,0.0,0.0,1,22
0.0,0.0,0.0,1,23
0.0,0.0,0.0,1,24
0.0,0.0,0.0,1,25
0.0,0.0,0.0,1,26
0.0,0.0,0.0,1,27
0.0,0.0,0.0,1,28
0.0,0.0,0.0,1,29
0.0,0.0,0.0,1,30
0.0,0.0,0.0,1,31
0.0,0.0,0.0,2,1
0.0,0.0,0.0,2,2
0.0,0.0,0.0,2,3
0.0,0.0,0.0,2,4
0.0,0.0,0.0,2,5
0.0,0.0,0.0,2,6
0.0,0.0,0.0,2,7
0.0,0.0,0.0,2,8
0.0,0.0,0.0,2,9
0.0,0.0,0.0,2,10
0.0,0.0,0.0,2,11
0.0,0.0,0.0,2,12
0.0,0.0,0.0,2,13
0.0,0.0,0.0,2,14
0.0,0.0,0.0,2,15
0.0,0.0,0.0,2,16
0.0,0.0,0.0,2,17
0.0,0.0,0.0,2,18
0.0,0.0,0.0,2,19
0.0,0.0,0.0,2,20
0.0,0.0,0.0,2,21
0.0,0.0,0.0,2,22
0.0,0.0,0.0,2,23
1.0,0.0,0.0,2,24
1.0,0.0,0.0,2,25
1.0,0.0,0.0,2,26
1.0,0.0,0.0,2,27
1.0,0.0,0.0,2,28
1.0,0.0,0.0,2,29
1.0,0.0,0.0,3,1
1.0,0.0,0.0,3,2
1.0,0.0,0.0,3,3
1.0,0.0,0.0,3,4
1.0,0.0,0.0,3,5
1.0,0.0,0.0,3,6
1.0,0.0,0.0,3,7
4.0,0.0,0.0,3,8
4.0,0.0,0.0,3,9
5.0,0.0,0.0,3,10
7.0,0.0,0.0,3,11
7.0,0.0,0.0,3,12
7.0,0.0,0.0,3,13
11.0,0.0,0.0,3,14
16.0,0.0,0.0,3,15
21.0,0.0,1.0,3,16
22.0,0.0,1.0,3,17
22.0,0.0,1.0,3,18
22.0,0.0,1.0,3,19
24.0,0.0,1.0,3,20
24.0,0.0,1.0,3,21
40.0,1.0,1.0,3,22
40.0,1.0,1.0,3,23
74.0,1.0,1.0,3,24
84.0,2.0,2.0,3,25
94.0,4.0,2.0,3,26
110.0,4.0,2.0,3,27
110.0,4.0,2.0,3,28
120.0,4.0,2.0,3,29
170.0,4.0,2.0,3,30
174.0,4.0,5.0,3,31
237.0,4.0,5.0,4,1
273.0,6.0,10.0,4,2
281.0,6.0,10.0,4,3
299.0,7.0,10.0,4,4
349.0,7.0,15.0,4,5
367.0,11.0,18.0,4,6
423.0,14.0,18.0,4,7
444.0,14.0,29.0,4,8
484.0,15.0,32.0,4,9
521.0,15.0,32.0,4,10
555.0,18.0,32.0,4,11
607.0,18.0,32.0,4,12
665.0,21.0,32.0,4,13
714.0,23.0,40.0,4,14
784.0,25.0,43.0,4,15
840.0,30.0,54.0,4,16
906.0,30.0,99.0,4,17
933.0,30.0,112.0,4,18
996.0,33.0,131.0,4,19
1026.0,36.0,135.0,4,20
1092.0,36.0,150.0,4,21
1176.0,40.0,166.0,4,22
1279.0,42.0,179.0,4,23
1351.0,43.0,188.0,4,24
1463.0,47.0,188.0,4,25
1531.0,50.0,207.0,4,26
1703.0,57.0,220.0,4,27
1828.0,58.0,228.0,4,28
1939.0,60.0,252.0,4,29
2171.0,64.0,260.0,4,30
2335.0,68.0,310.0,5,1
2469.0,72.0,331.0,5,2
2704.0,85.0,345.0,5,3
2894.0,90.0,397.0,5,4
0.0,0.0,0.0,1,22
0.0,0.0,0.0,1,23
0.0,0.0,0.0,1,24
0.0,0.0,0.0,1,25
0.0,0.0,0.0,1,26
0.0,0.0,0.0,1,27
0.0,0.0,0.0,1,28
0.0,0.0,0.0,1,29
0.0,0.0,0.0,1,30
0.0,0.0,0.0,1,31
0.0,0.0,0.0,2,1
0.0,0.0,0.0,2,2
0.0,0.0,0.0,2,3
0.0,0.0,0.0,2,4
0.0,0.0,0.0,2,5
0.0,0.0,0.0,2,6
0.0,0.0,0.0,2,7
0.0,0.0,0.0,2,8
0.0,0.0,0.0,2,9
0.0,0.0,0.0,2,10
0.0,0.0,0.0,2,11
0.0,0.0,0.0,2,12
0.0,0.0,0.0,2,13
0.0,0.0,0.0,2,14
0.0,0.0,0.0,2,15
0.0,0.0,0.0,2,16
0.0,0.0,0.0,2,17
0.0,0.0,0.0,2,18
0.0,0.0,0.0,2,19
0.0,0.0,0.0,2,20
0.0,0.0,0.0,2,21
0.0,0.0,0.0,2,22
0.0,0.0,0.0,2,23
0.0,0.0,0.0,2,24
0.0,0.0,0.0,2,25
0.0,0.0,0.0,2,26
0.0,0.0,0.0,2,27
0.0,0.0,0.0,2,28
0.0,0.0,0.0,2,29
0.0,0.0,0.0,3,1
0.0,0.0,0.0,3,2
0.0,0.0,0.0,3,3
0.0,0.0,0.0,3,4
0.0,0.0,0.0,3,5
0.0,0.0,0.0,3,6
0.0,0.0,0.0,3,7
0.0,0.0,0.0,3,8
2.0,0.0,0.0,3,9
10.0,0.0,0.0,3,10
12.0,1.0,0.0,3,11
23.0,1.0,0.0,3,12
33.0,1.0,0.0,3,13
38.0,1.0,0.0,3,14
42.0,1.0,0.0,3,15
51.0,1.0,0.0,3,16
55.0,1.0,0.0,3,17
59.0,2.0,0.0,3,18
64.0,2.0,0.0,3,19
70.0,2.0,0.0,3,20
76.0,2.0,2.0,3,21
89.0,2.0,2.0,3,22
104.0,4.0,2.0,3,23
123.0,5.0,10.0,3,24
146.0,5.0,17.0,3,25
174.0,6.0,17.0,3,26
186.0,8.0,31.0,3,27
197.0,10.0,31.0,3,28
212.0,10.0,33.0,3,29
223.0,11.0,44.0,3,30
243.0,15.0,52.0,3,31
259.0,15.0,67.0,4,1
277.0,16.0,76.0,4,2
304.0,17.0,89.0,4,3
333.0,20.0,99.0,4,4
361.0,20.0,104.0,4,5
377.0,21.0,116.0,4,6
383.0,22.0,131.0,4,7
400.0,22.0,154.0,4,8
409.0,23.0,165.0,4,9
416.0,23.0,182.0,4,10
433.0,23.0,197.0,4,11
446.0,23.0,217.0,4,12
467.0,23.0,232.0,4,13
475.0,24.0,248.0,4,14
494.0,25.0,251.0,4,15
518.0,26.0,277.0,4,16
539.0,26.0,283.0,4,17
548.0,26.0,302.0,4,18
562.0,26.0,314.0,4,19
584.0,26.0,327.0,4,20
609.0,26.0,345.0,4,21
634.0,27.0,356.0,4,22
663.0,27.0,385.0,4,23
678.0,27.0,394.0,4,24
712.0,27.0,403.0,4,25
726.0,28.0,410.0,4,26
736.0,28.0,422.0,4,27
750.0,30.0,431.0,4,28
