confirmed,date,deaths,lat,lon,recovered
0,2020-01-22,0,51.0,9.0,0
0,2020-01-23,0,51.0,9.0,0
0,2020-01-24,0,51.0,9.0,0
0,2020-01-25,0,51.0,9.0,0
0,2020-01-26,0,51.0,9.0,0
1,2020-01-27,0,51.0,9.0,0
4,2020-01-28,0,51.0,9.0,0
4,2020-01-29,0,51.0,9.0,0
4,2020-01-30,0,51.0,9.0,0
5,2020-01-31,0,51.0,9.0,0
8,2020-02-01,0,51.0,9.0,0
10,2020-02-02,0,51.0,9.0,0
12,2020-02-03,0,51.0,9.0,0
12,2020-02-04,0,51.0,9.0,0
12,2020-02-05,0,51.0,9.0,0
12,2020-02-06,0,51.0,9.0,0
13,2020-02-07,0,51.0,9.0,0
13,2020-02-08,0,51.0,9.0,0
14,2020-02-09,0,51.0,9.0,0
14,2020-02-10,0,51.0,9.0,0
16,2020-02-11,0,51.0,9.0,0
16,2020-02-12,0,51.0,9.0,0
16,2020-02-13,0,51.0,9.0,1
16,2020-02-14,0,51.0,9.0,1
16,2020-02-15,0,51.0,9.0,1
16,2020-02-16,0,51.0,9.0,1
16,2020-02-17,0,51.0,9.0,1
16,2020-02-18,0,51.0,9.0,12
16,2020-02-19,0,51.0,9.0,12
16,2020-02-20,0,51.0,9.0,12
16,2020-02-21,0,51.0,9.0,14
16,2020-02-22,0,51.0,9.0,14
16,2020-02-23,0,51.0,9.0,14
16,2020-02-24,0,51.0,9.0,14
17,2020-02-25,0,51.0,9.0,14
27,2020-02-26,0,51.0,9.0,15
46,2020-02-27,0,51.0,9.0,16
48,2020-02-28,0,51.0,9.0,16
79,2020-02-29,0,51.0,9.0,16
130,2020-03-01,0,51.0,9.0,16
159,2020-03-02,0,51.0,9.0,16
196,2020-03-03,0,51.0,9.0,16
262,2020-03-04,0,51.0,9.0,16
482,2020-03-05,0,51.0,9.0,16
670,2020-03-06,0,51.0,9.0,17
799,2020-03-07,0,51.0,9.0,18
1040,2020-03-08,0,51.0,9.0,18
1176,2020-03-09,2,51.0,9.0,18
1457,2020-03-10,2,51.0,9.0,18
1908,2020-03-11,3,51.0,9.0,25
2078,2020-03-12,3,51.0,9.0,25
3675,2020-03-13,7,51.0,9.0,46
4585,2020-03-14,9,51.0,9.0,46
5795,2020-03-15,11,51.0,9.0,46
7272,2020-03-16,17,51.0,9.0,67
9257,2020-03-17,24,51.0,9.0,67
12327,2020-03-18,28,51.0,9.0,105
15320,2020-03-19,44,51.0,9.0,113
19848,2020-03-20,67,51.0,9.0,180
22213,2020-03-21,84,51.0,9.0,233
24873,2020-03-22,94,51.0,9.0,266
29056,2020-03-23,123,51.0,9.0,266
32986,2020-03-24,157,51.0,9.0,3243
37323,2020-03-25,206,51.0,9.0,3547
43938,2020-03-26,267,51.0,9.0,5673
50871,2020-03-27,342,51.0,9.0,6658
57695,2020-03-28,433,51.0,9.0,8481
62095,2020-03-29,533,51.0,9.0,9211
66885,2020-03-30,645,51.0,9.0,13500
71808,2020-03-31,775,51.0,9.0,16100
77872,2020-04-01,920,51.0,9.0,18700
84794,2020-04-02,1107,51.0,9.0,22440
91159,2020-04-03,1275,51.0,9.0,24575
96092,2020-04-04,1444,51.0,9.0,26400
100123,2020-04-05,1584,51.0,9.0,28700
103374,2020-04-06,1810,51.0,9.0,28700
107663,2020-04-07,2016,51.0,9.0,36081
113296,2020-04-08,2349,51.0,9.0,46300
118181,2020-04-09,2607,51.0,9.0,52407
122171,2020-04-10,2767,51.0,9.0,53913
124908,2020-04-11,2736,51.0,9.0,57400
127854,2020-04-12,3022,51.0,9.0,60300
130072,2020-04-13,3194,51.0,9.0,64300
131359,2020-04-14,3294,51.0,9.0,68200
134753,2020-04-15,3804,51.0,9.0,72600
137698,2020-04-16,4052,51.0,9.0,77000
141397,2020-04-17,4352,51.0,9.0,83114
143342,2020-04-18,4459,51.0,9.0,85400
145184,2020-04-19,4586,51.0,9.0,88000
147065,2020-04-20,4862,51.0,9.0,91500
148291,2020-04-21,5033,51.0,9.0,95200
150648,2020-04-22,5279,51.0,9.0,99400
153129,2020-04-23,5575,51.0,9.0,103300
154999,2020-04-24,5760,51.0,9.0,109800
156513,2020-04-25,5877,51.0,9.0,109800
157770,2020-04-26,5976,51.0,9.0,112000
158758,2020-04-27,6126,51.0,9.0,114500
159912,2020-04-28,6314,51.0,9.0,117400
161539,2020-04-29,6467,51.0,9.0,120400
163009,2020-04-30,6623,51.0,9.0,123500
164077,2020-05-01,6736,51.0,9.0,126900
164967,2020-05-02,6812,51.0,9.0,129000
165664,2020-05-03,6866,51.0,9.0,130600
166152,2020-05-04,6993,51.0,9.0,132700
