confirmed,date,deaths,lat,lon,recovered
0,2020-01-22,0,48.3794,31.1656,0
0,2020-01-23,0,48.3794,31.1656,0
0,2020-01-24,0,48.3794,31.1656,0
0,2020-01-25,0,48.3794,31.1656,0
0,2020-01-26,0,48.3794,31.1656,0
0,2020-01-27,0,48.3794,31.1656,0
0,2020-01-28,0,48.3794,31.1656,0
0,2020-01-29,0,48.3794,31.1656,0
0,2020-01-30,0,48.3794,31.1656,0
0,2020-01-31,0,48.3794,31.1656,0
0,2020-02-01,0,48.3794,31.1656,0
0,2020-02-02,0,48.3794,31.1656,0
0,2020-02-03,0,48.3794,31.1656,0
0,2020-02-04,0,48.3794,31.1656,0
0,2020-02-05,0,48.3794,31.1656,0
0,2020-02-06,0,48.3794,31.1656,0
0,2020-02-07,0,48.3794,31.1656,0
0,2020-02-08,0,48.3794,31.1656,0
0,2020-02-09,0,48.3794,31.1656,0
0,2020-02-10,0,48.3794,31.1656,0
0,2020-02-11,0,48.3794,31.1656,0
0,2020-02-12,0,48.3794,31.1656,0
0,2020-02-13,0,48.3794,31.1656,0
0,2020-02-14,0,48.3794,31.1656,0
0,2020-02-15,0,48.3794,31.1656,0
0,2020-02-16,0,48.3794,31.1656,0
0,2020-02-17,0,48.3794,31.1656,0
0,2020-02-18,0,48.3794,31.1656,0
0,2020-02-19,0,48.3794,31.1656,0
0,2020-02-20,0,48.3794,31.1656,0
0,2020-02-21,0,48.3794,31.1656,0
0,2020-02-22,0,48.3794,31.1656,0
0,2020-02-23,0,48.3794,31.1656,0
0,2020-02-24,0,48.3794,31.1656,0
0,2020-02-25,0,48.3794,31.1656,0
0,2020-02-26,0,48.3794,31.1656,0
0,2020-02-27,0,48.3794,31.1656,0
0,2020-02-28,0,48.3794,31.1656,0
0,2020-02-29,0,48.3794,31.1656,0
0,2020-03-01,0,48.3794,31.1656,0
0,2020-03-02,0,48.3794,31.1656,0
1,2020-03-03,0,48.3794,31.1656,0
1,2020-03-04,0,48.3794,31.1656,0
1,2020-03-05,0,48.3794,31.1656,0
1,2020-03-06,0,48.3794,31.1656,0
1,2020-03-07,0,48.3794,31.1656,0
1,2020-03-08,0,48.3794,31.1656,0
1,2020-03-09,0,48.3794,31.1656,0
1,2020-03-10,0,48.3794,31.1656,0
1,2020-03-11,0,48.3794,31.1656,0
1,2020-03-12,0,48.3794,31.1656,0
3,2020-03-13,1,48.3794,31.1656,0
3,2020-03-14,1,48.3794,31.1656,0
3,2020-03-15,1,48.3794,31.1656,0
7,2020-03-16,1,48.3794,31.1656,0
14,2020-03-17,2,48.3794,31.1656,0
14,2020-03-18,2,48.3794,31.1656,0
16,2020-03-19,2,48.3794,31.1656,0
29,2020-03-20,3,48.3794,31.1656,0
47,2020-03-21,3,48.3794,31.1656,1
73,2020-03-22,3,48.3794,31.1656,1
73,2020-03-23,3,48.3794,31.1656,1
97,2020-03-24,3,48.3794,31.1656,1
145,2020-03-25,5,48.3794,31.1656,1
196,2020-03-26,5,48.3794,31.1656,1
310,2020-03-27,5,48.3794,31.1656,5
356,2020-03-28,9,48.3794,31.1656,5
475,2020-03-29,10,48.3794,31.1656,6
548,2020-03-30,13,48.3794,31.1656,8
645,2020-03-31,17,48.3794,31.1656,10
794,2020-04-01,20,48.3794,31.1656,13
897,2020-04-02,22,48.3794,31.1656,19
1072,2020-04-03,27,48.3794,31.1656,22
1225,2020-04-04,32,48.3794,31.1656,25
1308,2020-04-05,37,48.3794,31.1656,28
1319,2020-04-06,38,48.3794,31.1656,28
1462,2020-04-07,45,48.3794,31.1656,28
1668,2020-04-08,52,48.3794,31.1656,35
1892,2020-04-09,57,48.3794,31.1656,45
2203,2020-04-10,69,48.3794,31.1656,61
2511,2020-04-11,73,48.3794,31.1656,79
2777,2020-04-12,83,48.3794,31.1656,89
3102,2020-04-13,93,48.3794,31.1656,97
3372,2020-04-14,98,48.3794,31.1656,119
3764,2020-04-15,108,48.3794,31.1656,143
4161,2020-04-16,116,48.3794,31.1656,186
4662,2020-04-17,125,48.3794,31.1656,246
5106,2020-04-18,133,48.3794,31.1656,275
5449,2020-04-19,141,48.3794,31.1656,347
5710,2020-04-20,151,48.3794,31.1656,359
6125,2020-04-21,161,48.3794,31.1656,367
6592,2020-04-22,174,48.3794,31.1656,424
7170,2020-04-23,187,48.3794,31.1656,504
7647,2020-04-24,201,48.3794,31.1656,782
8125,2020-04-25,201,48.3794,31.1656,782
8617,2020-04-26,209,48.3794,31.1656,840
9009,2020-04-27,220,48.3794,31.1656,864
9410,2020-04-28,239,48.3794,31.1656,992
9866,2020-04-29,250,48.3794,31.1656,1103
10406,2020-04-30,261,48.3794,31.1656,1238
10861,2020-05-01,272,48.3794,31.1656,1413
11411,2020-05-02,279,48.3794,31.1656,1498
11913,2020-05-03,288,48.3794,31.1656,1548
12331,2020-05-04,303,48.3794,31.1656,1619
