confirmed,date,deaths,lat,lon,recovered
1,2020-01-22,0,37.0902,-95.7129,0
1,2020-01-23,0,37.0902,-95.7129,0
2,2020-01-24,0,37.0902,-95.7129,0
2,2020-01-25,0,37.0902,-95.7129,0
5,2020-01-26,0,37.0902,-95.7129,0
5,2020-01-27,0,37.0902,-95.7129,0
5,2020-01-28,0,37.0902,-95.7129,0
5,2020-01-29,0,37.0902,-95.7129,0
5,2020-01-30,0,37.0902,-95.7129,0
7,2020-01-31,0,37.0902,-95.7129,0
8,2020-02-01,0,37.0902,-95.7129,0
8,2020-02-02,0,37.0902,-95.7129,0
11,2020-02-03,0,37.0902,-95.7129,0
11,2020-02-04,0,37.0902,-95.7129,0
11,2020-02-05,0,37.0902,-95.7129,0
11,2020-02-06,0,37.0902,-95.7129,0
11,2020-02-07,0,37.0902,-95.7129,0
11,2020-02-08,0,37.0902,-95.7129,0
11,2020-02-09,0,37.0902,-95.7129,3
11,2020-02-10,0,37.0902,-95.7129,3
12,2020-02-11,0,37.0902,-95.7129,3
12,2020-02-12,0,37.0902,-95.7129,3
13,2020-02-13,0,37.0902,-95.7129,3
13,2020-02-14,0,37.0902,-95.7129,3
13,2020-02-15,0,37.0902,-95.7129,3
13,2020-02-16,0,37.0902,-95.7129,3
13,2020-02-17,0,37.0902,-95.7129,3
13,2020-02-18,0,37.0902,-95.7129,3
13,2020-02-19,0,37.0902,-95.7129,3
13,2020-02-20,0,37.0902,-95.7129,3
15,2020-02-21,0,37.0902,-95.7129,5
15,2020-02-22,0,37.0902,-95.7129,5
15,2020-02-23,0,37.0902,-95.7129,5
51,2020-02-24,0,37.0902,-95.7129,5
51,2020-02-25,0,37.0902,-95.7129,6
57,2020-02-26,0,37.0902,-95.7129,6
58,2020-02-27,0,37.0902,-95.7129,6
60,2020-02-28,0,37.0902,-95.7129,7
68,2020-02-29,1,37.0902,-95.7129,7
74,2020-03-01,1,37.0902,-95.7129,7
98,2020-03-02,6,37.0902,-95.7129,7
118,2020-03-03,7,37.0902,-95.7129,7
149,2020-03-04,11,37.0902,-95.7129,7
217,2020-03-05,12,37.0902,-95.7129,7
262,2020-03-06,14,37.0902,-95.7129,7
402,2020-03-07,17,37.0902,-95.7129,7
518,2020-03-08,21,37.0902,-95.7129,7
583,2020-03-09,22,37.0902,-95.7129,7
959,2020-03-10,28,37.0902,-95.7129,8
1281,2020-03-11,36,37.0902,-95.7129,8
1663,2020-03-12,41,37.0902,-95.7129,12
2179,2020-03-13,49,37.0902,-95.7129,12
2727,2020-03-14,58,37.0902,-95.7129,12
3499,2020-03-15,73,37.0902,-95.7129,12
4632,2020-03-16,99,37.0902,-95.7129,17
6421,2020-03-17,133,37.0902,-95.7129,17
7783,2020-03-18,164,37.0902,-95.7129,105
13747,2020-03-19,258,37.0902,-95.7129,121
19273,2020-03-20,349,37.0902,-95.7129,147
25600,2020-03-21,442,37.0902,-95.7129,176
33276,2020-03-22,586,37.0902,-95.7129,178
43843,2020-03-23,786,37.0902,-95.7129,178
53736,2020-03-24,1008,37.0902,-95.7129,348
65778,2020-03-25,1316,37.0902,-95.7129,361
83836,2020-03-26,1726,37.0902,-95.7129,681
101657,2020-03-27,2265,37.0902,-95.7129,869
121465,2020-03-28,2731,37.0902,-95.7129,1072
140909,2020-03-29,3420,37.0902,-95.7129,2665
161831,2020-03-30,4192,37.0902,-95.7129,5644
188172,2020-03-31,5367,37.0902,-95.7129,7024
213242,2020-04-01,6501,37.0902,-95.7129,8474
243622,2020-04-02,7921,37.0902,-95.7129,9001
275367,2020-04-03,9246,37.0902,-95.7129,9707
308650,2020-04-04,10855,37.0902,-95.7129,14652
336802,2020-04-05,12375,37.0902,-95.7129,17448
366317,2020-04-06,13894,37.0902,-95.7129,19581
397121,2020-04-07,16191,37.0902,-95.7129,21763
428654,2020-04-08,18270,37.0902,-95.7129,23559
462780,2020-04-09,20255,37.0902,-95.7129,25410
496535,2020-04-10,22333,37.0902,-95.7129,28790
526396,2020-04-11,24342,37.0902,-95.7129,31270
555313,2020-04-12,26086,37.0902,-95.7129,32988
580619,2020-04-13,27870,37.0902,-95.7129,43482
607670,2020-04-14,30262,37.0902,-95.7129,47763
636350,2020-04-15,32734,37.0902,-95.7129,52096
667592,2020-04-16,34827,37.0902,-95.7129,54703
699706,2020-04-17,37411,37.0902,-95.7129,58545
732197,2020-04-18,39753,37.0902,-95.7129,64840
758809,2020-04-19,40945,37.0902,-95.7129,70337
784326,2020-04-20,42659,37.0902,-95.7129,72329
811865,2020-04-21,45086,37.0902,-95.7129,75204
840351,2020-04-22,47412,37.0902,-95.7129,77366
869170,2020-04-23,49724,37.0902,-95.7129,80203
905358,2020-04-24,51493,37.0902,-95.7129,99079
938154,2020-04-25,53755,37.0902,-95.7129,100372
965785,2020-04-26,54881,37.0902,-95.7129,106988
988197,2020-04-27,56259,37.0902,-95.7129,111424
1012582,2020-04-28,58355,37.0902,-95.7129,115936
1039909,2020-04-29,60967,37.0902,-95.7129,120720
1069424,2020-04-30,62996,37.0902,-95.7129,153947
1103461,2020-05-01,64943,37.0902,-95.7129,164015
1132539,2020-05-02,66369,37.0902,-95.7129,175382
1158040,2020-05-03,67682,37.0902,-95.7129,180152
1180375,2020-05-04,68922,37.0902,-95.7129,187180
