confirmed,date,deaths,lat,lon,recovered
0,2020-01-22,0,46.2276,2.2137,0
0,2020-01-23,0,46.2276,2.2137,0
2,2020-01-24,0,46.2276,2.2137,0
3,2020-01-25,0,46.2276,2.2137,0
3,2020-01-26,0,46.2276,2.2137,0
3,2020-01-27,0,46.2276,2.2137,0
4,2020-01-28,0,46.2276,2.2137,0
5,2020-01-29,0,46.2276,2.2137,0
5,2020-01-30,0,46.2276,2.2137,0
5,2020-01-31,0,46.2276,2.2137,0
6,2020-02-01,0,46.2276,2.2137,0
6,2020-02-02,0,46.2276,2.2137,0
6,2020-02-03,0,46.2276,2.2137,0
6,2020-02-04,0,46.2276,2.2137,0
6,2020-02-05,0,46.2276,2.2137,0
6,2020-02-06,0,46.2276,2.2137,0
6,2020-02-07,0,46.2276,2.2137,0
11,2020-02-08,0,46.2276,2.2137,0
11,2020-02-09,0,46.2276,2.2137,0
11,2020-02-10,0,46.2276,2.2137,0
11,2020-02-11,0,46.2276,2.2137,0
11,2020-02-12,0,46.2276,2.2137,2
11,2020-02-13,0,46.2276,2.2137,2
11,2020-02-14,0,46.2276,2.2137,2
12,2020-02-15,1,46.2276,2.2137,4
12,2020-02-16,1,46.2276,2.2137,4
12,2020-02-17,1,46.2276,2.2137,4
12,2020-02-18,1,46.2276,2.2137,4
12,2020-02-19,1,46.2276,2.2137,4
12,2020-02-20,1,46.2276,2.2137,4
12,2020-02-21,1,46.2276,2.2137,4
12,2020-02-22,1,46.2276,2.2137,4
12,2020-02-23,1,46.2276,2.2137,4
12,2020-02-24,1,46.2276,2.2137,4
14,2020-02-25,1,46.2276,2.2137,11
18,2020-02-26,2,46.2276,2.2137,11
38,2020-02-27,2,46.2276,2.2137,11
57,2020-02-28,2,46.2276,2.2137,11
100,2020-02-29,2,46.2276,2.2137,12
130,2020-03-01,2,46.2276,2.2137,12
191,2020-03-02,3,46.2276,2.2137,12
204,2020-03-03,4,46.2276,2.2137,12
285,2020-03-04,4,46.2276,2.2137,12
377,2020-03-05,6,46.2276,2.2137,12
653,2020-03-06,9,46.2276,2.2137,12
949,2020-03-07,11,46.2276,2.2137,12
1126,2020-03-08,19,46.2276,2.2137,12
1209,2020-03-09,19,46.2276,2.2137,12
1784,2020-03-10,33,46.2276,2.2137,12
2281,2020-03-11,48,46.2276,2.2137,12
2281,2020-03-12,48,46.2276,2.2137,12
3661,2020-03-13,79,46.2276,2.2137,12
4469,2020-03-14,91,46.2276,2.2137,12
4499,2020-03-15,91,46.2276,2.2137,12
6633,2020-03-16,148,46.2276,2.2137,12
7652,2020-03-17,148,46.2276,2.2137,12
9043,2020-03-18,148,46.2276,2.2137,12
10871,2020-03-19,243,46.2276,2.2137,12
12612,2020-03-20,450,46.2276,2.2137,12
14282,2020-03-21,562,46.2276,2.2137,12
16018,2020-03-22,674,46.2276,2.2137,2200
19856,2020-03-23,860,46.2276,2.2137,2200
22304,2020-03-24,1100,46.2276,2.2137,3243
25233,2020-03-25,1331,46.2276,2.2137,3900
29155,2020-03-26,1696,46.2276,2.2137,4948
32964,2020-03-27,1995,46.2276,2.2137,5700
37575,2020-03-28,2314,46.2276,2.2137,5700
40174,2020-03-29,2606,46.2276,2.2137,7202
44550,2020-03-30,3024,46.2276,2.2137,7927
52128,2020-03-31,3523,46.2276,2.2137,9444
56989,2020-04-01,4403,46.2276,2.2137,10934
59105,2020-04-02,5387,46.2276,2.2137,12428
64338,2020-04-03,6507,46.2276,2.2137,14008
68605,2020-04-04,7560,46.2276,2.2137,15438
70478,2020-04-05,8078,46.2276,2.2137,16183
74390,2020-04-06,8911,46.2276,2.2137,17250
78167,2020-04-07,10328,46.2276,2.2137,19337
82048,2020-04-08,10869,46.2276,2.2137,21254
86334,2020-04-09,12210,46.2276,2.2137,23206
90676,2020-04-10,13197,46.2276,2.2137,24932
93790,2020-04-11,13832,46.2276,2.2137,26391
120633,2020-04-12,14393,46.2276,2.2137,27186
124298,2020-04-13,14967,46.2276,2.2137,27718
129257,2020-04-14,15712,46.2276,2.2137,28512
132473,2020-04-15,17148,46.2276,2.2137,30440
144944,2020-04-16,17901,46.2276,2.2137,32297
146923,2020-04-17,18661,46.2276,2.2137,33834
146906,2020-04-18,19303,46.2276,2.2137,35379
151808,2020-04-19,19694,46.2276,2.2137,35973
154188,2020-04-20,20240,46.2276,2.2137,36782
156921,2020-04-21,20765,46.2276,2.2137,38543
