confirmed,date,deaths,lat,lon,recovered
0,2020-01-22,0,32.0,53.0,0
0,2020-01-23,0,32.0,53.0,0
0,2020-01-24,0,32.0,53.0,0
0,2020-01-25,0,32.0,53.0,0
0,2020-01-26,0,32.0,53.0,0
0,2020-01-27,0,32.0,53.0,0
0,2020-01-28,0,32.0,53.0,0
0,2020-01-29,0,32.0,53.0,0
0,2020-01-30,0,32.0,53.0,0
0,2020-01-31,0,32.0,53.0,0
0,2020-02-01,0,32.0,53.0,0
0,2020-02-02,0,32.0,53.0,0
0,2020-02-03,0,32.0,53.0,0
0,2020-02-04,0,32.0,53.0,0
0,2020-02-05,0,32.0,53.0,0
0,2020-02-06,0,32.0,53.0,0
0,2020-02-07,0,32.0,53.0,0
0,2020-02-08,0,32.0,53.0,0
0,2020-02-09,0,32.0,53.0,0
0,2020-02-10,0,32.0,53.0,0
0,2020-02-11,0,32.0,53.0,0
0,2020-02-12,0,32.0,53.0,0
0,2020-02-13,0,32.0,53.0,0
0,2020-02-14,0,32.0,53.0,0
0,2020-02-15,0,32.0,53.0,0
0,2020-02-16,0,32.0,53.0,0
0,2020-02-17,0,32.0,53.0,0
0,2020-02-18,0,32.0,53.0,0
2,2020-02-19,2,32.0,53.0,0
5,2020-02-20,2,32.0,53.0,0
18,2020-02-21,4,32.0,53.0,0
28,2020-02-22,5,32.0,53.0,0
43,2020-02-23,8,32.0,53.0,0
61,2020-02-24,12,32.0,53.0,0
95,2020-02-25,16,32.0,53.0,0
139,2020-02-26,19,32.0,53.0,49
245,2020-02-27,26,32.0,53.0,49
388,2020-02-28,34,32.0,53.0,73
593,2020-02-29,43,32.0,53.0,123
978,2020-03-01,54,32.0,53.0,175
1501,2020-03-02,66,32.0,53.0,291
2336,2020-03-03,77,32.0,53.0,291
2922,2020-03-04,92,32.0,53.0,552
3513,2020-03-05,107,32.0,53.0,739
4747,2020-03-06,124,32.0,53.0,913
5823,2020-03-07,145,32.0,53.0,1669
6566,2020-03-08,194,32.0,53.0,2134
7161,2020-03-09,237,32.0,53.0,2394
8042,2020-03-10,291,32.0,53.0,2731
9000,2020-03-11,354,32.0,53.0,2959
10075,2020-03-12,429,32.0,53.0,2959
11364,2020-03-13,514,32.0,53.0,2959
12729,2020-03-14,611,32.0,53.0,2959
13938,2020-03-15,724,32.0,53.0,4590
14991,2020-03-16,853,32.0,53.0,4590
16169,2020-03-17,988,32.0,53.0,5389
17361,2020-03-18,1135,32.0,53.0,5389
18407,2020-03-19,1284,32.0,53.0,5710
19644,2020-03-20,1433,32.0,53.0,6745
20610,2020-03-21,1556,32.0,53.0,7635
21638,2020-03-22,1685,32.0,53.0,7931
23049,2020-03-23,1812,32.0,53.0,7931
24811,2020-03-24,1934,32.0,53.0,8913
27017,2020-03-25,2077,32.0,53.0,9625
29406,2020-03-26,2234,32.0,53.0,10457
32332,2020-03-27,2378,32.0,53.0,11133
35408,2020-03-28,2517,32.0,53.0,11679
38309,2020-03-29,2640,32.0,53.0,12391
41495,2020-03-30,2757,32.0,53.0,13911
44605,2020-03-31,2898,32.0,53.0,14656
47593,2020-04-01,3036,32.0,53.0,15473
50468,2020-04-02,3160,32.0,53.0,16711
53183,2020-04-03,3294,32.0,53.0,17935
55743,2020-04-04,3452,32.0,53.0,19736
58226,2020-04-05,3603,32.0,53.0,19736
60500,2020-04-06,3739,32.0,53.0,24236
62589,2020-04-07,3872,32.0,53.0,27039
64586,2020-04-08,3993,32.0,53.0,29812
66220,2020-04-09,4110,32.0,53.0,32309
68192,2020-04-10,4232,32.0,53.0,35465
70029,2020-04-11,4357,32.0,53.0,41947
71686,2020-04-12,4474,32.0,53.0,43894
73303,2020-04-13,4585,32.0,53.0,45983
74877,2020-04-14,4683,32.0,53.0,48129
76389,2020-04-15,4777,32.0,53.0,49933
77995,2020-04-16,4869,32.0,53.0,52229
79494,2020-04-17,4958,32.0,53.0,54064
80868,2020-04-18,5031,32.0,53.0,55987
82211,2020-04-19,5118,32.0,53.0,57023
83505,2020-04-20,5209,32.0,53.0,59273
84802,2020-04-21,5297,32.0,53.0,60965
85996,2020-04-22,5391,32.0,53.0,63113
87026,2020-04-23,5481,32.0,53.0,64843
88194,2020-04-24,5574,32.0,53.0,66599
89328,2020-04-25,5650,32.0,53.0,68193
90481,2020-04-26,5710,32.0,53.0,69657
91472,2020-04-27,5806,32.0,53.0,70933
92584,2020-04-28,5877,32.0,53.0,72439
93657,2020-04-29,5957,32.0,53.0,73791
94640,2020-04-30,6028,32.0,53.0,75103
95646,2020-05-01,6091,32.0,53.0,76318
96448,2020-05-02,6156,32.0,53.0,77350
97424,2020-05-03,6203,32.0,53.0,78422
98647,2020-05-04,6277,32.0,53.0,79379
