confirmed,date,deaths,lat,lon,recovered
0,2020-01-22,0,43.0,12.0,0
0,2020-01-23,0,43.0,12.0,0
0,2020-01-24,0,43.0,12.0,0
0,2020-01-25,0,43.0,12.0,0
0,2020-01-26,0,43.0,12.0,0
0,2020-01-27,0,43.0,12.0,0
0,2020-01-28,0,43.0,12.0,0
0,2020-01-29,0,43.0,12.0,0
0,2020-01-30,0,43.0,12.0,0
2,2020-01-31,0,43.0,12.0,0
2,2020-02-01,0,43.0,12.0,0
2,2020-02-02,0,43.0,12.0,0
2,2020-02-03,0,43.0,12.0,0
2,2020-02-04,0,43.0,12.0,0
2,2020-02-05,0,43.0,12.0,0
2,2020-02-06,0,43.0,12.0,0
3,2020-02-07,0,43.0,12.0,0
3,2020-02-08,0,43.0,12.0,0
3,2020-02-09,0,43.0,12.0,0
3,2020-02-10,0,43.0,12.0,0
3,2020-02-11,0,43.0,12.0,0
3,2020-02-12,0,43.0,12.0,0
3,2020-02-13,0,43.0,12.0,0
3,2020-02-14,0,43.0,12.0,0
3,2020-02-15,0,43.0,12.0,0
3,2020-02-16,0,43.0,12.0,0
3,2020-02-17,0,43.0,12.0,0
3,2020-02-18,0,43.0,12.0,0
3,2020-02-19,0,43.0,12.0,0
3,2020-02-20,0,43.0,12.0,0
20,2020-02-21,1,43.0,12.0,0
62,2020-02-22,2,43.0,12.0,1
155,2020-02-23,3,43.0,12.0,2
229,2020-02-24,7,43.0,12.0,1
322,2020-02-25,10,43.0,12.0,1
453,2020-02-26,12,43.0,12.0,3
655,2020-02-27,17,43.0,12.0,45
888,2020-02-28,21,43.0,12.0,46
1128,2020-02-29,29,43.0,12.0,46
1694,2020-03-01,34,43.0,12.0,83
2036,2020-03-02,52,43.0,12.0,149
2502,2020-03-03,79,43.0,12.0,160
3089,2020-03-04,107,43.0,12.0,276
3858,2020-03-05,148,43.0,12.0,414
4636,2020-03-06,197,43.0,12.0,523
5883,2020-03-07,233,43.0,12.0,589
7375,2020-03-08,366,43.0,12.0,622
9172,2020-03-09,463,43.0,12.0,724
10149,2020-03-10,631,43.0,12.0,724
12462,2020-03-11,827,43.0,12.0,1045
12462,2020-03-12,827,43.0,12.0,1045
17660,2020-03-13,1266,43.0,12.0,1439
21157,2020-03-14,1441,43.0,12.0,1966
24747,2020-03-15,1809,43.0,12.0,2335
27980,2020-03-16,2158,43.0,12.0,2749
31506,2020-03-17,2503,43.0,12.0,2941
35713,2020-03-18,2978,43.0,12.0,4025
41035,2020-03-19,3405,43.0,12.0,4440
47021,2020-03-20,4032,43.0,12.0,4440
53578,2020-03-21,4825,43.0,12.0,6072
59138,2020-03-22,5476,43.0,12.0,7024
63927,2020-03-23,6077,43.0,12.0,7024
69176,2020-03-24,6820,43.0,12.0,8326
74386,2020-03-25,7503,43.0,12.0,9362
80589,2020-03-26,8215,43.0,12.0,10361
86498,2020-03-27,9134,43.0,12.0,10950
92472,2020-03-28,10023,43.0,12.0,12384
97689,2020-03-29,10779,43.0,12.0,13030
101739,2020-03-30,11591,43.0,12.0,14620
105792,2020-03-31,12428,43.0,12.0,15729
110574,2020-04-01,13155,43.0,12.0,16847
115242,2020-04-02,13915,43.0,12.0,18278
119827,2020-04-03,14681,43.0,12.0,19758
124632,2020-04-04,15362,43.0,12.0,20996
128948,2020-04-05,15887,43.0,12.0,21815
132547,2020-04-06,16523,43.0,12.0,22837
135586,2020-04-07,17127,43.0,12.0,24392
139422,2020-04-08,17669,43.0,12.0,26491
143626,2020-04-09,18279,43.0,12.0,28470
147577,2020-04-10,18849,43.0,12.0,30455
152271,2020-04-11,19468,43.0,12.0,32534
156363,2020-04-12,19899,43.0,12.0,34211
159516,2020-04-13,20465,43.0,12.0,35435
162488,2020-04-14,21067,43.0,12.0,37130
165155,2020-04-15,21645,43.0,12.0,38092
168941,2020-04-16,22170,43.0,12.0,40164
172434,2020-04-17,22745,43.0,12.0,42727
175925,2020-04-18,23227,43.0,12.0,44927
178972,2020-04-19,23660,43.0,12.0,47055
181228,2020-04-20,24114,43.0,12.0,48877
183957,2020-04-21,24648,43.0,12.0,51600
187327,2020-04-22,25085,43.0,12.0,54543
189973,2020-04-23,25549,43.0,12.0,57576
192994,2020-04-24,25969,43.0,12.0,60498
195351,2020-04-25,26384,43.0,12.0,63120
197675,2020-04-26,26644,43.0,12.0,64928
199414,2020-04-27,26977,43.0,12.0,66624
201505,2020-04-28,27359,43.0,12.0,68941
203591,2020-04-29,27682,43.0,12.0,71252
205463,2020-04-30,27967,43.0,12.0,75945
207428,2020-05-01,28236,43.0,12.0,78249
209328,2020-05-02,28710,43.0,12.0,79914
210717,2020-05-03,28884,43.0,12.0,81654
211938,2020-05-04,29079,43.0,12.0,82879
