confirmed,date,deaths,lat,lon,recovered
0,2020-01-22,0,60.0,90.0,0
0,2020-01-23,0,60.0,90.0,0
0,2020-01-24,0,60.0,90.0,0
0,2020-01-25,0,60.0,90.0,0
0,2020-01-26,0,60.0,90.0,0
0,2020-01-27,0,60.0,90.0,0
0,2020-01-28,0,60.0,90.0,0
0,2020-01-29,0,60.0,90.0,0
0,2020-01-30,0,60.0,90.0,0
2,2020-01-31,0,60.0,90.0,0
2,2020-02-01,0,60.0,90.0,0
2,2020-02-02,0,60.0,90.0,0
2,2020-02-03,0,60.0,90.0,0
2,2020-02-04,0,60.0,90.0,0
2,2020-02-05,0,60.0,90.0,0
2,2020-02-06,0,60.0,90.0,0
2,2020-02-07,0,60.0,90.0,0
2,2020-02-08,0,60.0,90.0,0
2,2020-02-09,0,60.0,90.0,0
2,2020-02-10,0,60.0,90.0,0
2,2020-02-11,0,60.0,90.0,0
2,2020-02-12,0,60.0,90.0,2
2,2020-02-13,0,60.0,90.0,2
2,2020-02-14,0,60.0,90.0,2
2,2020-02-15,0,60.0,90.0,2
2,2020-02-16,0,60.0,90.0,2
2,2020-02-17,0,60.0,90.0,2
2,2020-02-18,0,60.0,90.0,2
2,2020-02-19,0,60.0,90.0,2
2,2020-02-20,0,60.0,90.0,2
2,2020-02-21,0,60.0,90.0,2
2,2020-02-22,0,60.0,90.0,2
2,2020-02-23,0,60.0,90.0,2
2,2020-02-24,0,60.0,90.0,2
2,2020-02-25,0,60.0,90.0,2
2,2020-02-26,0,60.0,90.0,2
2,2020-02-27,0,60.0,90.0,2
2,2020-02-28,0,60.0,90.0,2
2,2020-02-29,0,60.0,90.0,2
2,2020-03-01,0,60.0,90.0,2
3,2020-03-02,0,60.0,90.0,2
3,2020-03-03,0,60.0,90.0,2
3,2020-03-04,0,60.0,90.0,2
4,2020-03-05,0,60.0,90.0,2
13,2020-03-06,0,60.0,90.0,2
13,2020-03-07,0,60.0,90.0,2
17,2020-03-08,0,60.0,90.0,3
17,2020-03-09,0,60.0,90.0,3
20,2020-03-10,0,60.0,90.0,3
20,2020-03-11,0,60.0,90.0,3
28,2020-03-12,0,60.0,90.0,3
45,2020-03-13,0,60.0,90.0,3
59,2020-03-14,0,60.0,90.0,8
63,2020-03-15,0,60.0,90.0,8
90,2020-03-16,0,60.0,90.0,8
114,2020-03-17,0,60.0,90.0,8
147,2020-03-18,0,60.0,90.0,8
199,2020-03-19,1,60.0,90.0,9
253,2020-03-20,1,60.0,90.0,9
306,2020-03-21,1,60.0,90.0,12
367,2020-03-22,1,60.0,90.0,16
438,2020-03-23,1,60.0,90.0,16
495,2020-03-24,1,60.0,90.0,22
658,2020-03-25,3,60.0,90.0,29
840,2020-03-26,3,60.0,90.0,38
1036,2020-03-27,4,60.0,90.0,45
1264,2020-03-28,4,60.0,90.0,49
1534,2020-03-29,8,60.0,90.0,64
1836,2020-03-30,9,60.0,90.0,66
2337,2020-03-31,17,60.0,90.0,121
2777,2020-04-01,24,60.0,90.0,190
3548,2020-04-02,30,60.0,90.0,235
4149,2020-04-03,34,60.0,90.0,281
4731,2020-04-04,43,60.0,90.0,333
5389,2020-04-05,45,60.0,90.0,355
6343,2020-04-06,47,60.0,90.0,406
7497,2020-04-07,58,60.0,90.0,494
8672,2020-04-08,63,60.0,90.0,580
10131,2020-04-09,76,60.0,90.0,698
11917,2020-04-10,94,60.0,90.0,795
13584,2020-04-11,106,60.0,90.0,1045
15770,2020-04-12,130,60.0,90.0,1291
18328,2020-04-13,148,60.0,90.0,1470
21102,2020-04-14,170,60.0,90.0,1694
24490,2020-04-15,198,60.0,90.0,1986
27938,2020-04-16,232,60.0,90.0,2304
32008,2020-04-17,273,60.0,90.0,2590
36793,2020-04-18,313,60.0,90.0,3057
42853,2020-04-19,361,60.0,90.0,3291
47121,2020-04-20,405,60.0,90.0,3446
52763,2020-04-21,456,60.0,90.0,3873
57999,2020-04-22,513,60.0,90.0,4420
62773,2020-04-23,555,60.0,90.0,4891
68622,2020-04-24,615,60.0,90.0,5568
74588,2020-04-25,681,60.0,90.0,6250
80949,2020-04-26,747,60.0,90.0,6767
87147,2020-04-27,794,60.0,90.0,7346
93558,2020-04-28,867,60.0,90.0,8456
99399,2020-04-29,972,60.0,90.0,10286
106498,2020-04-30,1073,60.0,90.0,11619
114431,2020-05-01,1169,60.0,90.0,13220
124054,2020-05-02,1222,60.0,90.0,15013
134687,2020-05-03,1280,60.0,90.0,16639
145268,2020-05-04,1356,60.0,90.0,18095
