confirmed,date,deaths,lat,lon,recovered
0,2020-01-22,0,40.0,-4.0,0
0,2020-01-23,0,40.0,-4.0,0
0,2020-01-24,0,40.0,-4.0,0
0,2020-01-25,0,40.0,-4.0,0
0,2020-01-26,0,40.0,-4.0,0
0,2020-01-27,0,40.0,-4.0,0
0,2020-01-28,0,40.0,-4.0,0
0,2020-01-29,0,40.0,-4.0,0
0,2020-01-30,0,40.0,-4.0,0
0,2020-01-31,0,40.0,-4.0,0
1,2020-02-01,0,40.0,-4.0,0
1,2020-02-02,0,40.0,-4.0,0
1,2020-02-03,0,40.0,-4.0,0
1,2020-02-04,0,40.0,-4.0,0
1,2020-02-05,0,40.0,-4.0,0
1,2020-02-06,0,40.0,-4.0,0
1,2020-02-07,0,40.0,-4.0,0
1,2020-02-08,0,40.0,-4.0,0
2,2020-02-09,0,40.0,-4.0,0
2,2020-02-10,0,40.0,-4.0,0
2,2020-02-11,0,40.0,-4.0,0
2,2020-02-12,0,40.0,-4.0,0
2,2020-02-13,0,40.0,-4.0,0
2,2020-02-14,0,40.0,-4.0,0
2,2020-02-15,0,40.0,-4.0,2
2,2020-02-16,0,40.0,-4.0,2
2,2020-02-17,0,40.0,-4.0,2
2,2020-02-18,0,40.0,-4.0,2
2,2020-02-19,0,40.0,-4.0,2
2,2020-02-20,0,40.0,-4.0,2
2,2020-02-21,0,40.0,-4.0,2
2,2020-02-22,0,40.0,-4.0,2
2,2020-02-23,0,40.0,-4.0,2
2,2020-02-24,0,40.0,-4.0,2
6,2020-02-25,0,40.0,-4.0,2
13,2020-02-26,0,40.0,-4.0,2
15,2020-02-27,0,40.0,-4.0,2
32,2020-02-28,0,40.0,-4.0,2
45,2020-02-29,0,40.0,-4.0,2
84,2020-03-01,0,40.0,-4.0,2
120,2020-03-02,0,40.0,-4.0,2
165,2020-03-03,1,40.0,-4.0,2
222,2020-03-04,2,40.0,-4.0,2
259,2020-03-05,3,40.0,-4.0,2
400,2020-03-06,5,40.0,-4.0,2
500,2020-03-07,10,40.0,-4.0,30
673,2020-03-08,17,40.0,-4.0,30
1073,2020-03-09,28,40.0,-4.0,32
1695,2020-03-10,35,40.0,-4.0,32
2277,2020-03-11,54,40.0,-4.0,183
2277,2020-03-12,55,40.0,-4.0,183
5232,2020-03-13,133,40.0,-4.0,193
6391,2020-03-14,195,40.0,-4.0,517
7798,2020-03-15,289,40.0,-4.0,517
9942,2020-03-16,342,40.0,-4.0,530
11748,2020-03-17,533,40.0,-4.0,1028
13910,2020-03-18,623,40.0,-4.0,1081
17963,2020-03-19,830,40.0,-4.0,1107
20410,2020-03-20,1043,40.0,-4.0,1588
25374,2020-03-21,1375,40.0,-4.0,2125
28768,2020-03-22,1772,40.0,-4.0,2575
35136,2020-03-23,2311,40.0,-4.0,2575
39885,2020-03-24,2808,40.0,-4.0,3794
49515,2020-03-25,3647,40.0,-4.0,5367
57786,2020-03-26,4365,40.0,-4.0,7015
65719,2020-03-27,5138,40.0,-4.0,9357
73235,2020-03-28,5982,40.0,-4.0,12285
80110,2020-03-29,6803,40.0,-4.0,14709
87956,2020-03-30,7716,40.0,-4.0,16780
95923,2020-03-31,8464,40.0,-4.0,19259
104118,2020-04-01,9387,40.0,-4.0,22647
112065,2020-04-02,10348,40.0,-4.0,26743
119199,2020-04-03,11198,40.0,-4.0,30513
126168,2020-04-04,11947,40.0,-4.0,34219
131646,2020-04-05,12641,40.0,-4.0,38080
136675,2020-04-06,13341,40.0,-4.0,40437
141942,2020-04-07,14045,40.0,-4.0,43208
148220,2020-04-08,14792,40.0,-4.0,48021
153222,2020-04-09,15447,40.0,-4.0,52165
158273,2020-04-10,16081,40.0,-4.0,55668
163027,2020-04-11,16606,40.0,-4.0,59109
166831,2020-04-12,17209,40.0,-4.0,62391
170099,2020-04-13,17756,40.0,-4.0,64727
172541,2020-04-14,18056,40.0,-4.0,67504
177644,2020-04-15,18708,40.0,-4.0,70853
184948,2020-04-16,19315,40.0,-4.0,74797
190839,2020-04-17,20002,40.0,-4.0,74797
191726,2020-04-18,20043,40.0,-4.0,74797
198674,2020-04-19,20453,40.0,-4.0,77357
200210,2020-04-20,20852,40.0,-4.0,80587
204178,2020-04-21,21282,40.0,-4.0,82514
208389,2020-04-22,21717,40.0,-4.0,85915
213024,2020-04-23,22157,40.0,-4.0,89250
202990,2020-04-24,22524,40.0,-4.0,92355
205905,2020-04-25,22902,40.0,-4.0,95708
207634,2020-04-26,23190,40.0,-4.0,98372
209465,2020-04-27,23521,40.0,-4.0,100875
210773,2020-04-28,23822,40.0,-4.0,102548
212917,2020-04-29,24275,40.0,-4.0,108947
213435,2020-04-30,24543,40.0,-4.0,112050
213435,2020-05-01,24543,40.0,-4.0,112050
216582,2020-05-02,25100,40.0,-4.0,117248
217466,2020-05-03,25264,40.0,-4.0,118902
218011,2020-05-04,25428,40.0,-4.0,121343
